s. no,region,wh type,warehouse,district,capacity,occupancy,vacancy,latitude,longitude,address,status
1,KARIMNAGAR,AMC,AMC LOKESHWARAM,NIRMAL,5000.0,2283.99,2716.01,19.025617,78.075036,AMC LOKESHWARAM,Active
2,KARIMNAGAR,AMC,MALLAPUR,JAGTIAL,5000.0,,5000.0,18.917258,78.797487,,Active
3,KARIMNAGAR,AMC,MATEGAM,ADILABAD,1665.0,,1665.0,,,,Active
4,KARIMNAGAR,AMC,THANOOR,ADILABAD,5000.0,,5000.0,,,,Active
5,KARIMNAGAR,HIRED,ARMOOR,NIZAMABAD,15000.0,,15000.0,18.78821,78.289097,"WHM, TSWC., HUZURABAD, K.C.Camp, Karimnagar Dist. 505 498.",Active
6,NALGONDA,AMC,ALER AMC,NALGONDA,5000.0,1833.06,3166.94,17.648892,79.061984,"Aler Marcket Yard, Beside Govt Hospital/MDO Office",Active
7,KARIMNAGAR,OWN,JAGTIAL OWN,JAGTIAL,11340.0,,11340.0,18.7833326,78.9116959,"WHM, TSWC.,Near Bus Depot, JAGTIAL, Karimnagar Dist - 505 327.",Active
8,KARIMNAGAR,OWN,JAMMIKUNTA OWN,KARIMNAGAR,17500.0,22351.92,-4851.92,18.3023718,79.4706887,"WHM, TSWC., JAMMIKUNTA, Karimnagar Dist - 505 122.",Active
9,KARIMNAGAR,OWN,KAMAREDDY OWN,KAMAREDDY,15000.0,14705.32,294.68,18.3377718,78.31664479999999,"WHM, TSWC., Industrial Area, KAMAREDDY, Nizamabad Dist -– 503 111.",Active
10,KARIMNAGAR,OWN,KARIMNAGAR OWN,KARIMNAGAR,15500.0,21481.74,-5981.74,18.444290600000002,79.1564403,"WHM, TSWC., KARIMNAGAR,H.No: 10-63, Opp: Trinity College, BOMMAKAL VIL., Karimnagar Dist - 505 001.",Active
11,KARIMNAGAR,OWN,KORUTLA OWN,JAGTIAL,3200.0,3397.73,-197.73,18.82807,78.6998645,"WHM, TSWC., KORUTLA, Near Market Yard, Karimnagar Dist - 505 325.",Active
12,KARIMNAGAR,OWN,METPALLI OWN,JAGTIAL,10700.0,11147.56,-447.56,18.8459999,78.6344616,"WHM, TSWC., METPALLI, Near Bus Depot, Karimnagar Dist - 505 325.",Active
13,KARIMNAGAR,OWN,PEDDAPALLY OWN,PEDDAPALLY,8300.0,2516.03,5783.97,18.6262617,79.3907814,"WHM, TSWC., PEDDAPALLI, Bandampalli Village, via Appannapet, Karimnagar Dist - 505 172.",Active
14,KARIMNAGAR,OWN,SARANGAPUR OWN,NIZAMABAD,10000.0,10566.59,-566.59,18.6853362,78.0546033,"WHM, TSWC., SARANGAPUR, Near AP Dairy Farm, Opp: Sri Rama Temple, Hanuman Temple Road, Nizamabad Dist - 503 186.",Active
15,KARIMNAGAR,INVESTOR GODOWN,KATNAPALLY IG,KARIMNAGAR,25000.0,30545.6,-5545.6,,,Katnapally,Active
16,KARIMNAGAR,INVESTOR GODOWN,KHANAPUR IG,NIRMAL,13850.0,18591.7,-4741.7,19.044948,78.641701,Khanapur Nizambad,Active
17,KARIMNAGAR,INVESTOR GODOWN,MANCHERIAL IG,No Data,5000.0,7734.84,-2734.84,,,Mancherial,Active
18,KARIMNAGAR,INVESTOR GODOWN,PEDDAPALLI -I RANGAPUR,No Data,10000.0,,10000.0,,,"WHM, TSWC., Rangapur, PEDDAPALLI MDL, Karimnagar Dist - 505 172.",Active
19,KARIMNAGAR,INVESTOR GODOWN,RAGHAVAPUR-IG,KARIMNAGAR,5000.0,23715.56,-18715.56,,,Raghavapur,Active
20,KARIMNAGAR,INVESTOR GODOWN,SUDDALA -I IG,No Data,30000.0,16938.92,13061.08,,,Suddala,Active
21,KARIMNAGAR,INVESTOR GODOWN,SULTHANABAD IG,No Data,5000.0,30544.96,-25544.96,,,Sulthanabad,Active
22,KARIMNAGAR,INVESTOR GODOWN,THEEGALPAHAD,No Data,6000.0,,6000.0,,,Theegalpahad,Active
23,KARIMNAGAR,AMC,AMC PGADIPALLY,KAMAREDDY,2500.0,,2500.0,,,AMAC PGADIPALLY,Active
24,KARIMNAGAR,AMC,ARMOOR AMC,NIZAMABAD,2500.0,2755.16,-255.16,18.78821,78.289097,AMC ARMOOR,Active
25,KARIMNAGAR,AMC,AMC ASIFABAD,KOMARAM BHEEM ASIFABAD,10000.0,,10000.0,19.359937,79.266953,AMC ASIFABAD,Active
26,KARIMNAGAR,AMC,BALKONDA AMC,NIZAMABAD,5000.0,602.62,4397.38,18.876767,78.34742,AMC BALKONDA,Active
27,KARIMNAGAR,AMC,AMC BANDALNAGAPUR,KARIMNAGAR,5000.0,727.0,4273.0,,,AMC BANDALNAGAR,Active
28,KARIMNAGAR,AMC,BELLAMPALLY AMC,MANCHERIAL,7500.0,7086.72,413.28,19.086889000000003,79.477047,AMC BELAMPALLY,Active
29,KARIMNAGAR,AMC,AMC BHAINSA,NIRMAL,2500.0,,2500.0,19.014419,77.83935100000001,AMC BHAINSA,Active
30,KARIMNAGAR,AMC,AMC BHEEMGAL,NIZAMABAD,3650.0,,3650.0,18.722294,78.48745,AMC BHEEMGAL,Active
31,KARIMNAGAR,AMC,AMC BHIMARAM,WARANGAL(U),5000.0,,5000.0,,,AMC BHIMARAM,Active
32,KARIMNAGAR,AMC,BIRKUR AMC,KAMAREDDY,7500.0,4927.16,2572.84,18.469626,77.804448,AMC BHIRKUR,Active
33,KARIMNAGAR,AMC,AMC BOINPALLY,RAJANNA SIRCILLA,5000.0,,5000.0,18.506035,78.927961,AMC BOINPALLY,Active
34,KARIMNAGAR,AMC,BOPPAPUR AMC,RAJANNA SIRCILLA,10000.0,1550.68,8449.32,18.371101,78.63081,AMC BOPPAPUR,Active
35,KARIMNAGAR,AMC,AMC CHANDURTHY,RAJANNA SIRCILLA,5000.0,,5000.0,18.535589,78.80325500000001,AMC CHANDURTHY,Active
36,KARIMNAGAR,AMC,AMC CHELGAL,JAGTIAL,5000.0,3184.19,1815.81,18.847078,78.631138,AMC CHELGAL,Active
37,KARIMNAGAR,AMC,AMC CHEPYAL,JAGTIAL,5000.0,134.51,4865.49,18.625535,78.930255,AMC CHEPYAL,Active
38,KARIMNAGAR,AMC,AMC DHARMAPURI,JAGTIAL,2500.0,,2500.0,18.850208,79.16905200000001,AMC DHARMAPURI,Active
39,KARIMNAGAR,AMC,AMC DUDENAPALLY,KARIMNAGAR,5000.0,,5000.0,,,AMC DUDENAPALLY,Active
40,KARIMNAGAR,AMC,ECHODA AMC,ADILABAD,2500.0,1863.45,636.55,19.440163000000002,78.455853,AMC ECHODA,Active
41,KARIMNAGAR,AMC,ILLANTHAKUNTA AMC,RAJANNA SIRCILLA,5000.0,1761.52,3238.48,18.320439,78.926058,AMC ELLANTAKUNTA,Active
42,KARIMNAGAR,AMC,GANGADHARA AMC,KARIMNAGAR,5000.0,1314.1,3685.9,18.694221,79.06170999999999,AMC GANGADHARA,Active
43,KARIMNAGAR,AMC,GARREPALLY AMC,PEDDAPALLY,10000.0,15902.13,-5902.13,18.496962,79.246967,GARREPALLY AMC,Active
44,KARIMNAGAR,AMC,AMC HUZURABAD,KARIMNAGAR,2500.0,,2500.0,18.216462,79.261032,AMC HUZURABAD,Active
45,KARIMNAGAR,AMC,AMC IBRAHIMPATNAM,RANGA REDDY,2500.0,,2500.0,17.188829000000002,78.646914,AMC IBRAHIMPATNAM,Active
46,KARIMNAGAR,AMC,AMC JAINOOR,KOMARAM BHEEM ASIFABAD,5000.0,,5000.0,19.37511,78.905007,AMC JAINOOR,Active
47,KARIMNAGAR,AMC,JAMMIKUNTA AMC,KARIMNAGAR,6600.0,9206.53,-2606.53,,,AMC JAMMIKUNTA,Active
48,KARIMNAGAR,AMC,AMC JANNARAM,MANCHERIAL,5000.0,,5000.0,19.114601999999998,78.9926,AMC JANNARAM,Active
49,KARIMNAGAR,AMC,AMC JHAMSARANGAPUR,ADILABAD,5000.0,,5000.0,,,AMC JHAMSARANGAPUR,Active
50,KARIMNAGAR,AMC,AMC KESHAVAPATNAM,KARIMNAGAR,5000.0,,5000.0,18.293354,79.30545699999999,AMC KESHAVAPATNAM,Active
