,brightness,confidence,bright_t31,frp,daynight,lulc,month,period_day,plant_harvest
0,311.9,37,301.0,5.4,D,Trees,January,morning,No
1,311.9,40,296.3,6.6,D,Trees,January,morning,No
2,312.6,0,300.4,39.7,D,Trees,January,morning,No
3,313.1,32,300.6,42.7,D,Trees,January,morning,No
4,316.2,39,303.2,56.6,D,Trees,January,morning,No
5,313.1,0,301.9,60.3,D,Trees,January,morning,No
6,314.5,0,302.5,67.2,D,Trees,January,morning,No
7,317.1,69,302.4,20.0,D,Trees,February,night,No
8,314.7,0,301.1,46.3,D,Trees,February,morning,No
9,315.2,0,301.3,44.7,D,Trees,February,morning,No
10,303.1,53,293.0,28.1,N,Trees,February,afternoon,No
11,317.4,25,298.0,25.7,D,Trees,March,morning,No
12,326.7,63,308.5,9.7,D,Trees,March,morning,No
13,342.0,0,314.2,21.0,D,Trees,April,morning,Yes
14,330.2,68,306.0,15.3,D,Trees,April,morning,Yes
15,328.8,66,303.3,21.7,D,Trees,April,morning,Yes
16,334.6,66,309.9,10.5,D,Trees,May,morning,Yes
17,336.1,72,311.3,11.8,D,Trees,May,morning,Yes
18,326.4,33,302.8,18.7,D,Trees,June,morning,Yes
19,330.0,75,306.0,13.0,D,Trees,June,morning,Yes
20,313.0,40,291.7,9.0,D,Trees,August,morning,No
21,319.7,0,297.5,13.1,D,Trees,August,morning,No
22,318.0,36,294.3,30.5,D,Trees,September,morning,Yes
23,322.7,0,299.5,11.5,D,Trees,September,morning,Yes
24,310.8,0,291.1,45.4,D,Trees,September,night,Yes
25,317.9,34,299.9,7.7,D,Trees,September,morning,Yes
26,316.1,33,291.8,8.1,D,Trees,October,morning,Yes
27,317.3,34,297.7,12.9,D,Trees,October,morning,Yes
28,312.4,0,289.0,32.1,D,Trees,October,night,Yes
29,312.6,0,293.3,6.9,D,Trees,October,morning,Yes
30,320.4,42,305.5,12.3,D,Trees,October,morning,Yes
31,318.7,11,303.3,13.7,D,Trees,October,morning,Yes
32,314.7,40,296.8,17.0,D,Trees,October,morning,Yes
33,315.1,12,301.3,42.3,D,Trees,October,night,Yes
34,318.0,0,304.0,12.7,D,Trees,October,morning,Yes
35,320.5,26,307.4,9.8,D,Trees,November,morning,Yes
36,318.2,62,303.4,9.9,D,Trees,November,morning,Yes
37,321.4,68,298.8,13.8,D,Trees,November,morning,Yes
38,330.3,74,304.9,29.0,D,Trees,December,morning,Yes
39,313.1,0,298.3,57.7,D,Trees,December,morning,Yes
40,329.8,57,308.2,15.8,D,Trees,December,morning,Yes
41,319.0,52,302.5,6.4,D,Trees,December,morning,Yes
42,324.2,67,310.9,13.5,D,Trees,December,morning,Yes
43,310.9,0,293.4,4.8,D,Trees,January,morning,No
44,328.0,74,305.0,19.0,D,Trees,January,morning,No
45,313.6,33,300.1,3.2,D,Trees,January,morning,No
46,316.6,62,302.7,5.9,D,Trees,January,morning,No
47,322.5,56,310.2,7.7,D,Trees,February,morning,No
48,324.3,64,305.7,9.5,D,Trees,February,morning,No
49,316.3,0,299.2,41.5,D,Trees,February,morning,No
50,333.8,75,309.3,17.6,D,Trees,March,morning,No
51,334.2,66,318.0,14.4,D,Trees,March,morning,No
52,330.6,48,315.4,8.7,D,Trees,March,morning,No
53,332.4,62,316.5,10.3,D,Trees,March,morning,No
54,346.7,88,325.9,31.4,D,Trees,April,morning,Yes
55,335.0,69,310.5,9.8,D,Trees,April,morning,Yes
56,333.6,68,310.9,9.5,D,Trees,May,morning,Yes
57,338.6,67,315.0,10.1,D,Trees,May,morning,Yes
58,334.6,0,301.1,43.3,D,Trees,May,night,Yes
59,334.8,0,308.3,19.5,D,Trees,May,morning,Yes
60,314.4,63,291.7,32.4,D,Trees,August,morning,No
61,312.2,0,298.5,26.1,D,Trees,October,night,Yes
62,315.1,37,299.7,66.4,D,Trees,November,morning,Yes
63,314.6,0,299.5,70.9,D,Trees,November,morning,Yes
64,317.0,0,302.2,8.1,D,Trees,November,morning,Yes
65,318.3,66,304.6,13.5,D,Trees,November,morning,Yes
66,316.5,63,298.2,8.9,D,Trees,November,morning,Yes
67,315.0,0,296.7,28.8,D,Trees,December,morning,Yes
68,312.4,50,300.6,4.8,D,Trees,December,morning,Yes
69,317.1,58,304.8,12.2,D,Trees,December,morning,Yes
70,313.8,0,301.7,59.5,D,Trees,February,morning,No
71,319.2,47,304.9,7.1,D,Trees,February,morning,No
72,314.1,49,302.4,5.3,D,Trees,February,morning,No
73,314.6,63,299.6,10.9,D,Shrubland,January,morning,No
74,314.1,54,302.3,6.1,D,Shrubland,January,morning,No
75,315.5,40,305.4,5.9,D,Shrubland,January,morning,No
76,321.9,72,305.3,11.0,D,Shrubland,January,morning,No
77,319.6,0,301.8,41.2,D,Shrubland,January,morning,No
78,341.9,90,307.1,45.4,D,Shrubland,January,morning,No
79,321.0,42,304.7,17.4,D,Shrubland,January,morning,No
80,322.8,63,303.9,20.1,D,Shrubland,January,morning,No
81,313.9,48,302.1,7.1,D,Shrubland,January,morning,No
82,316.3,40,305.0,13.4,D,Shrubland,January,morning,No
83,318.4,31,305.9,6.8,D,Shrubland,January,morning,No
84,322.9,59,306.3,8.4,D,Shrubland,January,morning,No
85,342.8,90,308.3,40.2,D,Shrubland,January,morning,No
