,MAE,RMSE,R2,Accuracy,Features,Parameters,Feature Importances
0,"[97.65463706006814, 73.46045661267655]","[120.20061575143592, 92.63730835054237]","[-0.768362623504814, 0.020085917658716146]","[50.112661796573946, 61.082596518122294]","['SoilT_Chromic_Luvisols', 'SoilT_Chromic_Vertisols', 'SoilT_Eutric_Nitosols', 'SoilT_Lithosols', 'SoilT_Pellic_luvisols', 'SoilT_Plinthic_Luvisols', 'SoilT_Vertic_Cambisols']","{'bootstrap': True, 'max_depth': 12, 'max_features': 2, 'min_samples_leaf': 6, 'min_samples_split': 19, 'n_estimators': 650}","[('SoilT_Pellic_luvisols', 0.038323658092464, 0.0037495444347557696), ('SoilT_Chromic_Luvisols', 0.00664177614754, 0.0023555569854127813), ('SoilT_Vertic_Cambisols', 0.004300841034613, 0.0014912931876188617), ('SoilT_Lithosols', 0.001298296244248, 0.0006470528456144702), ('SoilT_Plinthic_Luvisols', 0.000602626060242, 0.000329210809501796), ('SoilT_Chromic_Vertisols', 0.000228418372226, 0.0009535096099419834), ('SoilT_Eutric_Nitosols', -3.3834395904e-05, 7.299254303043442e-05)]"
1,"[92.8322187749669, 61.07096225889645]","[112.64023829656092, 77.34537888592736]","[-0.5395286348808648, 0.3168990554611092]","[52.66068564651676, 66.7783993049922]","['Built_Area_Prop', 'Area_Built_Area', 'POP_mean', 'POP_median', 'RWI_mean', 'RWI_median', 'RWI_min', 'RWI_max', 'RWI_percentile_90']","{'bootstrap': True, 'max_depth': 11, 'max_features': 3, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 450}","[('Built_Area_Prop', 0.159769298523048, 0.005591941584854385), ('POP_mean', 0.09323002470641, 0.0034560419679345714), ('Area_Built_Area', 0.089591928347585, 0.005031934752540888), ('POP_median', 0.086266095362437, 0.0033848652053228346), ('RWI_median', 0.085361977570643, 0.0019917628772176074), ('RWI_percentile_90', 0.076076789329885, 0.001793099357427871), ('RWI_mean', 0.070123293853046, 0.002201052621094055), ('RWI_min', 0.060718017740408, 0.0019514737219756568), ('RWI_max', 0.048679002395038, 0.0018941713384260823)]"
2,"[93.02938333936467, 63.93292554284996]","[113.90741496289628, 80.71548526797015]","[-0.5733866703685211, 0.2560737770404714]","[52.681556929385025, 65.4571221995473]","['POP_mean', 'POP_median']","{'bootstrap': True, 'max_depth': 13, 'max_features': 1, 'min_samples_leaf': 2, 'min_samples_split': 3, 'n_estimators': 1700}","[('POP_median', 0.440012258521252, 0.009874077296565295), ('POP_mean', 0.432793577632065, 0.008788048434655693)]"
3,"[93.68835702456373, 60.97999293027301]","[113.60286366458345, 76.6722275022325]","[-0.5690073391127575, 0.3287376257185384]","[52.371908727055626, 66.83260205801005]","['RWI_mean', 'RWI_median', 'RWI_min', 'RWI_max', 'RWI_percentile_90']","{'bootstrap': True, 'max_depth': 11, 'max_features': 1, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 1250}","[('RWI_mean', 0.169776818116546, 0.0029757648323606094), ('RWI_median', 0.154702170023807, 0.002337936047423296), ('RWI_percentile_90', 0.150803186011968, 0.00342145541446949), ('RWI_min', 0.12414306519334, 0.002977782191834386), ('RWI_max', 0.120199486528968, 0.0026971086202985414)]"
4,"[94.2832301987894, 70.36407570681384]","[114.18678829325515, 90.29762540399396]","[-0.5814148694973641, 0.06895900791181686]","[51.948294814748266, 62.26874433985617]","['Built_Area_Prop', 'Area_Built_Area']","{'bootstrap': True, 'max_depth': 11, 'max_features': 1, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 200}","[('Area_Built_Area', 0.289090048918042, 0.010551310291825372), ('Built_Area_Prop', 0.272057498912956, 0.012963401787242488)]"
5,"[104.21692925912039, 58.61065629910483]","[130.23934662166323, 77.90458766476256]","[-1.177045431387037, 0.3069856780773882]","[54.921670558657354, 72.34786145650986]","['SSM_mean', 'SSM_median', 'SSM_min', 'SSM_max', 'SSM_percentile_90', 'ST_mean', 'ST_median', 'ST_min', 'ST_max', 'ST_percentile_90']","{'bootstrap': True, 'max_depth': 7, 'max_features': 3, 'min_samples_leaf': 2, 'min_samples_split': 3, 'n_estimators': 850}","[('SSM_max', 0.03207874571173, 0.0033026101062484724), ('SSM_percentile_90', 0.026452031492794, 0.003039240436299909), ('ST_min', 0.012258502434754, 0.0015057489238371306), ('SSM_median', 0.006243574653721, 0.0028970233290617183), ('ST_max', 0.002826556898241, 0.0022064027445068183), ('ST_percentile_90', 0.001694456850088, 0.002322469163361749), ('SSM_mean', 0.000633305069005, 0.00252756918763932), ('SSM_min', -0.00559098309622, 0.0016152882816777773), ('ST_mean', -0.014227721104281, 0.0016234430229449248), ('ST_median', -0.016497217168823, 0.0016804988945102028)]"
6,"[91.61277662764195, 66.05861649775217]","[115.61740812509179, 84.50790352828622]","[-0.6527303847786502, 0.18452472274125642]","[53.313512933517785, 68.27599157848282]","['PRE_mean', 'PRE_median', 'PRE_min', 'PRE_max', 'PRE_percentile_90', 'PRE_sum']","{'bootstrap': True, 'max_depth': 13, 'max_features': 2, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 800}","[('PRE_max', 0.108035760450999, 0.003521574113713878), ('PRE_min', 0.088277954128441, 0.004484306781638623), ('PRE_percentile_90', 0.080913324440695, 0.003803796195912267), ('PRE_sum', 0.063316799326378, 0.0068181241268503705), ('PRE_mean', 0.061376415454814, 0.004216224439659244), ('PRE_median', 0.015852433572761, 0.0030727718292790362)]"
7,"[85.1411962838597, 61.914773376897145]","[111.4142082485294, 81.15560680629179]","[-0.4896394651174205, 0.24793876758009004]","[59.549475398935506, 69.82787580149093]","['SSM_mean', 'SSM_median', 'SSM_min', 'SSM_max', 'SSM_percentile_90']","{'bootstrap': True, 'max_depth': 8, 'max_features': 1, 'min_samples_leaf': 3, 'min_samples_split': 7, 'n_estimators': 650}","[('SSM_percentile_90', 0.075912526114134, 0.004359102148579018), ('SSM_max', 0.060005446784389, 0.004258412039638484), ('SSM_median', 0.012031951036052, 0.0022512247783037388), ('SSM_mean', 0.010138880911881, 0.002604973512481726), ('SSM_min', 0.002953492837123, 0.0023756769544940907)]"
8,"[103.53392574126576, 66.89436583568457]","[128.4303635322057, 88.6173584194723]","[-1.2332984067456927, 0.10328642690086942]","[54.036047713447545, 66.01084732470795]","['ST_mean', 'ST_median', 'ST_min', 'ST_max', 'ST_percentile_90']","{'bootstrap': True, 'max_depth': 13, 'max_features': 1, 'min_samples_leaf': 3, 'min_samples_split': 16, 'n_estimators': 200}","[('ST_min', 0.100076731206973, 0.005830573413745291), ('ST_median', 0.095641437131961, 0.0062347754817083595), ('ST_max', 0.088228992037006, 0.0037004286368550435), ('ST_percentile_90', 0.077398844474859, 0.002876518558266148), ('ST_mean', 0.06606429139197, 0.005463236677838199)]"
9,"[95.68716705944146, 72.79619085531728]","[119.67403283033627, 94.04179018931875]","[-0.7573653749544811, -0.009852439570275928]","[50.78433020076813, 63.92774308435824]",['BA_sum'],"{'bootstrap': True, 'max_depth': 1, 'max_features': 1, 'min_samples_leaf': 2, 'min_samples_split': 12, 'n_estimators': 450}","[('BA_sum', 0.075159263915212, 0.006068918312489541)]"
