Date,place,fireCount
2017-01-01,Jagtial,1.0
2017-01-02,Jagtial,2.0
2017-01-03,Jagtial,0.0
2017-01-04,Jagtial,3.0
2017-01-05,Jagtial,9.0
2017-01-06,Jagtial,2.0
2017-01-07,Jagtial,0.0
2017-01-08,Jagtial,0.0
2017-01-09,Jagtial,0.0
2017-01-10,Jagtial,0.0
2017-01-11,Jagtial,0.0
2017-01-12,Jagtial,0.0
2017-01-13,Jagtial,0.0
2017-01-14,Jagtial,0.0
2017-01-15,Jagtial,2.0
2017-01-16,Jagtial,4.0
2017-01-17,Jagtial,0.0
2017-01-18,Jagtial,0.0
2017-01-19,Jagtial,0.0
2017-01-20,Jagtial,0.0
2017-01-21,Jagtial,0.0
2017-01-22,Jagtial,0.0
2017-01-23,Jagtial,0.0
2017-01-24,Jagtial,0.0
2017-01-25,Jagtial,2.0
2017-01-26,Jagtial,0.0
2017-01-27,Jagtial,1.0
2017-01-28,Jagtial,0.0
2017-01-29,Jagtial,0.0
2017-01-30,Jagtial,0.0
2017-01-31,Jagtial,2.0
2017-02-01,Jagtial,5.0
2017-02-02,Jagtial,0.0
2017-02-03,Jagtial,0.0
2017-02-04,Jagtial,0.0
2017-02-05,Jagtial,1.0
2017-02-06,Jagtial,0.0
2017-02-07,Jagtial,0.0
2017-02-08,Jagtial,0.0
2017-02-09,Jagtial,0.0
2017-02-10,Jagtial,1.0
2017-02-11,Jagtial,3.0
2017-02-12,Jagtial,0.0
2017-02-13,Jagtial,1.0
2017-02-14,Jagtial,0.0
2017-02-15,Jagtial,0.0
2017-02-16,Jagtial,2.0
2017-02-17,Jagtial,7.0
2017-02-18,Jagtial,2.0
2017-02-19,Jagtial,0.0
2017-02-20,Jagtial,3.0
2017-02-21,Jagtial,3.0
2017-02-22,Jagtial,1.0
2017-02-23,Jagtial,4.0
2017-02-24,Jagtial,0.0
2017-02-25,Jagtial,1.0
2017-02-26,Jagtial,3.0
2017-02-27,Jagtial,7.0
2017-02-28,Jagtial,2.0
2017-03-01,Jagtial,1.0
2017-03-02,Jagtial,1.0
2017-03-03,Jagtial,1.0
2017-03-04,Jagtial,1.0
2017-03-05,Jagtial,0.0
2017-03-06,Jagtial,0.0
2017-03-07,Jagtial,0.0
2017-03-08,Jagtial,0.0
2017-03-09,Jagtial,0.0
2017-03-10,Jagtial,10.0
2017-03-11,Jagtial,3.0
2017-03-12,Jagtial,0.0
2017-03-13,Jagtial,0.0
2017-03-14,Jagtial,0.0
2017-03-15,Jagtial,0.0
2017-03-16,Jagtial,0.0
2017-03-17,Jagtial,0.0
2017-03-18,Jagtial,0.0
2017-03-19,Jagtial,1.0
2017-03-20,Jagtial,0.0
2017-03-21,Jagtial,0.0
2017-03-22,Jagtial,0.0
2017-03-23,Jagtial,0.0
2017-03-24,Jagtial,0.0
2017-03-25,Jagtial,0.0
2017-03-26,Jagtial,0.0
2017-03-27,Jagtial,0.0
2017-03-28,Jagtial,2.0
2017-03-29,Jagtial,0.0
2017-03-30,Jagtial,0.0
2017-03-31,Jagtial,0.0
2017-04-01,Jagtial,4.0
2017-04-02,Jagtial,0.0
2017-04-03,Jagtial,0.0
2017-04-04,Jagtial,0.0
2017-04-05,Jagtial,0.0
2017-04-06,Jagtial,0.0
2017-04-07,Jagtial,0.0
2017-04-08,Jagtial,2.0
2017-04-09,Jagtial,1.0
2017-04-10,Jagtial,1.0
2017-04-11,Jagtial,0.0
2017-04-12,Jagtial,0.0
2017-04-13,Jagtial,0.0
2017-04-14,Jagtial,0.0
2017-04-15,Jagtial,0.0
2017-04-16,Jagtial,0.0
2017-04-17,Jagtial,0.0
2017-04-18,Jagtial,0.0
2017-04-19,Jagtial,0.0
2017-04-20,Jagtial,0.0
2017-04-21,Jagtial,1.0
2017-04-22,Jagtial,1.0
2017-04-23,Jagtial,0.0
2017-04-24,Jagtial,1.0
2017-04-25,Jagtial,0.0
2017-04-26,Jagtial,0.0
2017-04-27,Jagtial,0.0
2017-04-28,Jagtial,1.0
2017-04-29,Jagtial,0.0
2017-04-30,Jagtial,0.0
2017-05-01,Jagtial,1.0
2017-05-02,Jagtial,0.0
2017-05-03,Jagtial,0.0
2017-05-04,Jagtial,0.0
2017-05-05,Jagtial,0.0
2017-05-06,Jagtial,1.0
2017-05-07,Jagtial,0.0
2017-05-08,Jagtial,0.0
2017-05-09,Jagtial,3.0
2017-05-10,Jagtial,0.0
2017-05-11,Jagtial,1.0
2017-05-12,Jagtial,1.0
2017-05-13,Jagtial,0.0
2017-05-14,Jagtial,0.0
2017-05-15,Jagtial,0.0
2017-05-16,Jagtial,4.0
2017-05-17,Jagtial,3.0
2017-05-18,Jagtial,0.0
2017-05-19,Jagtial,1.0
2017-05-20,Jagtial,10.0
2017-05-21,Jagtial,12.0
2017-05-22,Jagtial,10.0
2017-05-23,Jagtial,22.0
2017-05-24,Jagtial,4.0
2017-05-25,Jagtial,9.0
2017-05-26,Jagtial,0.0
2017-05-27,Jagtial,2.0
2017-05-28,Jagtial,9.0
2017-05-29,Jagtial,0.0
2017-05-30,Jagtial,5.0
2017-05-31,Jagtial,9.0
2017-06-01,Jagtial,15.0
2017-06-02,Jagtial,4.0
2017-06-03,Jagtial,1.0
2017-06-04,Jagtial,2.0
2017-06-05,Jagtial,0.0
2017-06-06,Jagtial,5.0
2017-06-07,Jagtial,0.0
2017-06-08,Jagtial,5.0
2017-06-09,Jagtial,1.0
2017-06-10,Jagtial,0.0
2017-06-11,Jagtial,0.0
2017-06-12,Jagtial,0.0
2017-06-13,Jagtial,0.0
2017-06-14,Jagtial,0.0
2017-06-15,Jagtial,0.0
2017-06-16,Jagtial,0.0
2017-06-17,Jagtial,0.0
2017-06-18,Jagtial,0.0
2017-06-19,Jagtial,0.0
2017-06-20,Jagtial,1.0
2017-06-21,Jagtial,0.0
2017-06-22,Jagtial,0.0
2017-06-23,Jagtial,0.0
2017-06-24,Jagtial,0.0
2017-06-25,Jagtial,0.0
2017-06-26,Jagtial,0.0
2017-06-27,Jagtial,0.0
2017-06-28,Jagtial,0.0
2017-06-29,Jagtial,0.0
2017-06-30,Jagtial,0.0
2017-07-01,Jagtial,0.0
2017-07-02,Jagtial,0.0
2017-07-03,Jagtial,0.0
2017-07-04,Jagtial,0.0
2017-07-05,Jagtial,0.0
2017-07-06,Jagtial,0.0
2017-07-07,Jagtial,0.0
2017-07-08,Jagtial,0.0
2017-07-09,Jagtial,0.0
2017-07-10,Jagtial,0.0
2017-07-11,Jagtial,0.0
2017-07-12,Jagtial,0.0
2017-07-13,Jagtial,0.0
2017-07-14,Jagtial,0.0
2017-07-15,Jagtial,0.0
2017-07-16,Jagtial,0.0
2017-07-17,Jagtial,0.0
2017-07-18,Jagtial,0.0
2017-07-19,Jagtial,0.0
2017-07-20,Jagtial,0.0
2017-07-21,Jagtial,0.0
2017-07-22,Jagtial,0.0
2017-07-23,Jagtial,0.0
2017-07-24,Jagtial,0.0
2017-07-25,Jagtial,0.0
2017-07-26,Jagtial,0.0
2017-07-27,Jagtial,0.0
2017-07-28,Jagtial,0.0
2017-07-29,Jagtial,0.0
2017-07-30,Jagtial,0.0
2017-07-31,Jagtial,0.0
2017-08-01,Jagtial,0.0
2017-08-02,Jagtial,0.0
2017-08-03,Jagtial,0.0
2017-08-04,Jagtial,0.0
2017-08-05,Jagtial,0.0
2017-08-06,Jagtial,0.0
2017-08-07,Jagtial,0.0
2017-08-08,Jagtial,0.0
2017-08-09,Jagtial,0.0
2017-08-10,Jagtial,0.0
2017-08-11,Jagtial,0.0
2017-08-12,Jagtial,0.0
2017-08-13,Jagtial,0.0
2017-08-14,Jagtial,0.0
