Date,place,fireCount
2017-01-01,Bhupalpalle,5.0
2017-01-02,Bhupalpalle,5.0
2017-01-03,Bhupalpalle,3.0
2017-01-04,Bhupalpalle,6.0
2017-01-05,Bhupalpalle,12.0
2017-01-06,Bhupalpalle,2.0
2017-01-07,Bhupalpalle,3.0
2017-01-08,Bhupalpalle,4.0
2017-01-09,Bhupalpalle,0.0
2017-01-10,Bhupalpalle,0.0
2017-01-11,Bhupalpalle,2.0
2017-01-12,Bhupalpalle,3.0
2017-01-13,Bhupalpalle,0.0
2017-01-14,Bhupalpalle,0.0
2017-01-15,Bhupalpalle,3.0
2017-01-16,Bhupalpalle,5.0
2017-01-17,Bhupalpalle,0.0
2017-01-18,Bhupalpalle,1.0
2017-01-19,Bhupalpalle,0.0
2017-01-20,Bhupalpalle,0.0
2017-01-21,Bhupalpalle,2.0
2017-01-22,Bhupalpalle,1.0
2017-01-23,Bhupalpalle,1.0
2017-01-24,Bhupalpalle,0.0
2017-01-25,Bhupalpalle,0.0
2017-01-26,Bhupalpalle,0.0
2017-01-27,Bhupalpalle,2.0
2017-01-28,Bhupalpalle,0.0
2017-01-29,Bhupalpalle,0.0
2017-01-30,Bhupalpalle,0.0
2017-01-31,Bhupalpalle,1.0
2017-02-01,Bhupalpalle,0.0
2017-02-02,Bhupalpalle,0.0
2017-02-03,Bhupalpalle,0.0
2017-02-04,Bhupalpalle,3.0
2017-02-05,Bhupalpalle,1.0
2017-02-06,Bhupalpalle,0.0
2017-02-07,Bhupalpalle,0.0
2017-02-08,Bhupalpalle,0.0
2017-02-09,Bhupalpalle,0.0
2017-02-10,Bhupalpalle,0.0
2017-02-11,Bhupalpalle,1.0
2017-02-12,Bhupalpalle,0.0
2017-02-13,Bhupalpalle,0.0
2017-02-14,Bhupalpalle,0.0
2017-02-15,Bhupalpalle,1.0
2017-02-16,Bhupalpalle,0.0
2017-02-17,Bhupalpalle,0.0
2017-02-18,Bhupalpalle,0.0
2017-02-19,Bhupalpalle,0.0
2017-02-20,Bhupalpalle,0.0
2017-02-21,Bhupalpalle,1.0
2017-02-22,Bhupalpalle,1.0
2017-02-23,Bhupalpalle,0.0
2017-02-24,Bhupalpalle,0.0
2017-02-25,Bhupalpalle,0.0
