time,anomalies
01-01-1950,-3.63E-05
01-02-1950,-1.97E-05
01-03-1950,8.77E-05
01-04-1950,-3.49E-05
01-05-1950,-3.26E-06
01-06-1950,6.75E-06
01-07-1950,3.51E-05
01-08-1950,-5.53E-05
01-09-1950,-0.000133073
01-10-1950,-4.67E-05
01-11-1950,4.15E-05
01-12-1950,-8.76E-05
01-01-1951,-6.82E-05
01-02-1951,-9.43E-05
01-03-1951,-2.32E-05
01-04-1951,-0.000146182
01-05-1951,-4.88E-05
01-06-1951,-7.29E-05
01-07-1951,-0.000126321
01-08-1951,-0.000182189
01-09-1951,-0.000122457
01-10-1951,-5.65E-05
01-11-1951,-2.24E-06
01-12-1951,-6.35E-05
01-01-1952,-5.30E-05
01-02-1952,-3.75E-05
01-03-1952,-3.20E-05
01-04-1952,-6.66E-05
01-05-1952,-1.49E-05
01-06-1952,-9.92E-05
01-07-1952,-3.62E-05
01-08-1952,-4.98E-05
01-09-1952,-1.03E-05
01-10-1952,-6.90E-05
01-11-1952,-5.46E-05
01-12-1952,-0.000110774
01-01-1953,-1.58E-05
01-02-1953,6.53E-05
01-03-1953,4.31E-05
01-04-1953,-2.65E-05
01-05-1953,3.45E-05
01-06-1953,-5.59E-05
01-07-1953,-6.20E-05
01-08-1953,-8.43E-05
01-09-1953,-1.64E-05
01-10-1953,-5.28E-05
01-11-1953,7.95E-07
01-12-1953,6.32E-05
01-01-1954,-8.35E-05
01-02-1954,-2.24E-05
01-03-1954,-0.000110884
01-04-1954,-3.40E-05
01-05-1954,-5.34E-05
01-06-1954,6.51E-05
01-07-1954,4.73E-05
01-08-1954,1.60E-05
01-09-1954,-6.93E-05
01-10-1954,-4.95E-05
01-11-1954,-4.79E-05
01-12-1954,-9.53E-05
01-01-1955,4.92E-06
01-02-1955,2.36E-05
01-03-1955,2.42E-06
01-04-1955,-0.000106788
01-05-1955,2.91E-05
01-06-1955,5.52E-05
01-07-1955,1.08E-05
01-08-1955,-3.88E-05
01-09-1955,9.45E-06
01-10-1955,3.34E-05
01-11-1955,-4.04E-05
01-12-1955,2.87E-05
01-01-1956,-3.85E-05
01-02-1956,2.43E-05
01-03-1956,-1.27E-05
01-04-1956,2.24E-05
01-05-1956,7.18E-05
01-06-1956,4.45E-05
01-07-1956,4.55E-05
01-08-1956,6.98E-05
01-09-1956,7.24E-07
01-10-1956,3.30E-05
01-11-1956,-1.62E-05
01-12-1956,-4.39E-06
01-01-1957,7.28E-05
01-02-1957,-4.77E-05
01-03-1957,1.66E-05
01-04-1957,-1.05E-05
01-05-1957,5.16E-05
01-06-1957,-1.61E-05
01-07-1957,-2.69E-05
01-08-1957,-0.000113188
01-09-1957,-1.89E-05
01-10-1957,-1.43E-06
01-11-1957,-1.73E-05
01-12-1957,0.000130647
01-01-1958,9.21E-05
01-02-1958,-4.74E-06
01-03-1958,-3.61E-05
01-04-1958,3.54E-05
01-05-1958,-6.92E-05
01-06-1958,-7.00E-05
01-07-1958,5.17E-05
01-08-1958,-7.16E-07
01-09-1958,3.89E-05
01-10-1958,-1.89E-05
01-11-1958,-9.54E-05
01-12-1958,2.20E-05
01-01-1959,3.58E-05
01-02-1959,-2.99E-05
01-03-1959,-2.74E-05
01-04-1959,-4.83E-05
01-05-1959,-2.83E-05
01-06-1959,-6.49E-05
01-07-1959,-5.45E-05
01-08-1959,-9.40E-06
01-09-1959,2.91E-05
01-10-1959,-1.19E-05
01-11-1959,-0.000111576
01-12-1959,-7.87E-05
01-01-1960,-2.84E-05
01-02-1960,-9.83E-06
01-03-1960,-2.20E-05
01-04-1960,-0.000121206
01-05-1960,-0.000104521
01-06-1960,-1.30E-05
01-07-1960,3.14E-05
01-08-1960,3.14E-05
01-09-1960,1.18E-05
01-10-1960,-2.73E-05
01-11-1960,-7.62E-05
01-12-1960,-9.67E-05
01-01-1961,-0.000156276
01-02-1961,-0.000110987
01-03-1961,-0.000137277
01-04-1961,-1.54E-05
01-05-1961,-0.000171862
01-06-1961,-8.01E-05
01-07-1961,-2.35E-05
01-08-1961,-9.15E-06
01-09-1961,-2.63E-05
01-10-1961,-9.02E-05
01-11-1961,8.55E-05
01-12-1961,2.99E-05
01-01-1962,0.000127975
01-02-1962,-1.81E-05
01-03-1962,-3.93E-05
01-04-1962,-2.47E-05
01-05-1962,1.02E-05
01-06-1962,-1.45E-05
01-07-1962,-7.20E-05
01-08-1962,-7.47E-06
01-09-1962,-3.36E-05
01-10-1962,-6.81E-05
01-11-1962,-0.000100754
01-12-1962,2.84E-05
01-01-1963,9.93E-06
01-02-1963,4.93E-05
01-03-1963,-1.21E-05
01-04-1963,-1.62E-05
01-05-1963,-5.64E-05
01-06-1963,-3.82E-05
01-07-1963,-8.02E-06
01-08-1963,-2.14E-05
01-09-1963,-0.000109319
01-10-1963,-0.000143965
01-11-1963,0.000121723
01-12-1963,-3.39E-06
01-01-1964,-4.31E-05
01-02-1964,-9.18E-05
01-03-1964,-9.47E-06
01-04-1964,2.28E-05
01-05-1964,-8.48E-05
01-06-1964,-4.78E-05
01-07-1964,-3.75E-05
01-08-1964,2.31E-05
01-09-1964,2.32E-05
01-10-1964,1.46E-06
01-11-1964,-0.000103319
01-12-1964,7.53E-06
01-01-1965,1.38E-05
01-02-1965,-2.94E-05
01-03-1965,-8.31E-05
01-04-1965,-8.83E-05
01-05-1965,-0.000122552
01-06-1965,-0.000102374
01-07-1965,-0.000173973
01-08-1965,-0.000157726
01-09-1965,-0.000153304
01-10-1965,-8.77E-05
01-11-1965,-0.000103055
01-12-1965,-5.47E-05
01-01-1966,-6.73E-05
01-02-1966,-1.59E-05
01-03-1966,-9.41E-05
01-04-1966,-5.66E-05
01-05-1966,-8.23E-05
01-06-1966,-3.54E-05
01-07-1966,-9.04E-05
01-08-1966,-7.14E-05
01-09-1966,-0.000124355
01-10-1966,1.15E-05
01-11-1966,1.01E-05
