title,text,authors,published_date,top_image,videos,keywords,summary,Mandals,Districts
"Delhi choking, but do not blame stubble burning alone","December 07, 2022 12:08 am | Updated 01:06 pm IST

Every year around Deepavali, and like clockwork, Delhi’s air quality makes it to the headlines. But there is a problem. You would have noticed that the noise on TV channels and even newspapers over the issue dies down after one ‘strong wind speed day’ and blows the debate away. Next winter we are back to expressing outrage again. As firefighters we are doing well, but as planners doing very little. While nature will not change, emissions can be reduced.

Increasingly polluted air is a hazard and a health crisis in the making. In fact, it is already one. India now reports 2.5 million air pollution-related deaths annually. Pollution not only makes our throats and eyes burn but is much more insidious. Some pollutants are so small that they are able to enter the bloodstream with ease, impacting almost every organ in the body and leading to the onset of health issues such as stroke, heart diseases, respiratory diseases and cancer, to name just a few serious health problems. It is not just about good air. It is about life.

While a lot has been written and said about Delhi’s air quality, the question that still has to be answered is this: why is nothing changing after all these years?

The same orders again

A principal reason is that year after year, we are doing the same things to try and address the problem without actually trying to evaluate why those measures are not effective. The Government formed the Commission for Air Quality Management, which, unfortunately, did not offer anything new. This body essentially issued the same orders the Ministry and the Environment Pollution (Prevention and Control) Authority used to, with just a slight change in the language used. Every year schools are closed, people are advised to to stay indoors, or carpool and work from home, bans on firecrackers are reinforced, construction stopped, trucks and cars not allowed to enter the city, and industries running on fuel shut. These measures, and several others, are akin to dressing a bullet wound with bandaid. Stopping people from going about their regular work is plain bad governance.

Why Delhi’s air is bad

As the haze descends over Delhi, the blamegame begins — with stubble burning in the neighbouring States being identified as the main culprit. However, the reality is that Delhi’s air is bad even when stubble is not being burnt. The burning of biomass in and around Delhi, if audited properly, would be the same as stubble burning in other States. Unfortunately none of the bodies, be it the municipal body or the government’s Public Works Department, is willing to take responsibility for this or address and find a solution to the problem. This is not to say that stubble burning is not a problem. Some solutions have been tried out over the years, but with little success. What is required is a fundamental shift in agricultural patterns, which needs someone to make a bold political call. Unless farmers are adequately compensated, the problem is unlikely to go away. The ‘Happy Seeder’-based solution has sadly not been a happy experience. We need to acknowledge that the problem is not just Delhi-centric. For some strange reason we all talk about the airshed approach but do not spend the rest of the year trying to solve the problem. Delhi chokes on its own dust and industrial activities. Who is ensuring compliance with the rules relating to the handling of construction and demolition waste? Delhi started with much enthusiasm about roadside greening and cover. But is anyone monitoring this? Everyone seems to be looking at the data of PNG in industry, but is anyone looking at the unauthorised industries, which are a large emitter? Vehicles are another source of pollution in the city and we need to introspect why, despite an expanding fleet of public transport, citizens who primarily use two-wheelers have not moved to using the public transport system — buses and the metro. I feel the reasons for this include last-mile connectivity, the problem of crowding in buses and metros, and the inability to reach and navigate narrow lanes that two-wheelers can. The state of maintenance of buses could be another reason as well.

A no to silo functioning

We have to be creative and look beyond the measures that have already been tried and proved they are at best a short-term solution to a recurring, long-term problem. Even then a core issue that needs to be addressed is the governance system. There needs to be a single entity that takes responsibility for air quality management. We cannot operate in silos where one system of governance is responsible for thinking, a second issues orders and a third is responsible for implementation. Without an efficient system that works in a coordinated way, we will find ourselves to be in the same position years later.

The reality also is that Delhi is not the sole offender. There are many other cities in India where safe levels of air quality are breached regularly. Air quality is a problem on most days but becomes an issue around Deepavali and when stubble is being burnt. We need to take more comprehensive, long-term measures throughout the year and not just in the days and weeks when it begins to make news.

C.K. Mishra is a former Secretary, Ministry of Environment, Forest and Climate Change and founder, Partnerships for Impact",[],2022-12-06 18:38:00+00:00,https://th-i.thgim.com/public/incoming/krc3kd/article66231797.ece/alternates/FREE_1200/India_Dangerous_Air_Pollution_57809.jpg,[],[],,[],[]
Collaborative state can curb north India’s stubble burning,"On the eve of Diwali and the day after the festival, air quality ""only"" dropped to ""very poor"" instead of ""hazardous"", which is a small victory and mercy over the consistent environmental onslaught of the last decade.

On October 17, the Central government's Commission of Air Quality Management issued a statement, based on IARI analysis of NASA data, that paddy stubble burning incidents have reduced between September 15 to October 16 -- from 2,375 in 2021 to 1,444 in 2022 in Punjab and from 1,026 in 2021 to 244 in 2022 in Haryana. All of this could be attributed to better governance and PUSA decomposer spraying but is more likely a function of the asynchronous Diwali-crop season, extended monsoon, heavy unseasonal rainfall and marginal bureaucratic improvements.

Regardless of reduction in stubble burning incidents, Delhi’s air pollution will worsen over the next few weeks as we enter the dry winter, festival season and the farmers’ dire need to plant wheat and vegetables. The most important and powerful first responder will be the state comprising the legislature, democratic and bureaucratic executive and judiciary. It is the most influential lever of social change and can use persuasion, regulation, coercion and action. What can it do better this time?

Stubble burning and air quality has gone from bad to worse because of lack of public buy-in, absence of political will, lack of a stable policy ecosystem that promotes entrepreneurship for public problem solving and fragmented bureaucratic actions organized by departments instead of outcome. There is an underdeveloped research ecosystem for innovation and low coordination between judges, scientists and businesses, causing great public harm. The solution lies in dialogue on war-footing instead of monologues on the back-burner, where Occam’s razor takes precedence of Hanlon’s razor.

First, the Judiciary. The Supreme Court, National Green Tribunal and High Courts of north India can do citizens a great service by bringing scientific rigour, business viability and market sustainability as the central pivot for problem-solving. In an age where the judiciary is known for executive action, it can replicate its experiences from Covid-19, where industry was a key stakeholder in problem solving with vaccines (Bharat Biotech, Serum Institute) and oxygen (Inox, Linde) whilst renowned academics and doctors were consulted to understanding the multi-dimensional problem directly.

Similarly, for the respiratory crisis that is air pollution, the courts should consult public sector research organisations (IIT Delhi, IISc Bangalore, CSIR) and private think tanks (WRI, Clean Air Fund, Open Philanthropies) on air quality directly to solve this crisis created by misaligned incentives and improper policy design. This will help create concrete and implementable plans instead of promoting unscientific, cost-ineffective or unsustainable solutions like smog towers and mechanised sweeping. The current Chief Justice Uday Umesh Lalit, who has been amicus curiae in several pollution cases, and is in office till November 10, will spend his last few weeks in Delhi’s toxic air. He has the opportunity to leave a lasting legacy on north India’s air quality if he were able to create a systematic, sustainable and scientific plan to monitor and evaluate solutions proposed in several orders of Supreme Court Writ Petition 13029.

Second, the government (and the legislature). Governments must find a way to implement multi-pronged solutions in an outcome-oriented manner, to treat the fundamental ailment, instead of treating the symptoms. North India’s executive-led legislatures, for example, must reconsider the legislative instruments (Preservation of Subsoil Water Acts) enacted in 2009, aimed at water conservation in Punjab and Haryana, which gave the government the power to define a precise date of the year before which farmers are prohibited from transplanting paddy. While seeking to reduce groundwater depletion, it has reduced the number of days available between the kharif and rabi crops, and created incentives to burn the stubble in order to rapidly clear the field. Each year over the last 13 years, the agrarian crisis gets worse through bad policy planning and implementation, leading to poor fertilizers, failing crops and falling incomes. Free electricity for agricultural pumps without boundary conditions or community disincentives, and excessive continuous reliance on paddy due to its MSP and history has made things worse for water, soil, crops, farmers and the state.

To solve for this Nemean Hydra, groundwater depletion needs to be tackled by creating ponds, rejuvenating lakes and cleaning rivers using natural treatment methods and people’s participation. Delhi’s model of lake rejuvenation and Sant Balbir Seechewal’s model of cleaning the Kali Bein rivulet can be mainstreamed inside the government to bring science and community together. A new model of agrarian electricity governance should be proposed that provides for two lines to be connected to each village, one for agricultural use and one for residential use. The village residential line, with 24 hours of electricity, can power homes. Free but metered and scheduled electricity can be provided for agricultural pumps for a few hours in a day on the agricultural line. These two lines should have strict usage norms with village-level disincentives and individual fines if abused. Simultaneously, the long-term policy and program on crop diversification to increase farmer incomes must be pursued with vigor, which can create a sustainable market in the agrarian economy that removes the need for coercive laws. This means promoting millets and mushrooms which are less water intensive through state policies and instruments like MSP, as also creating a market for green business alternatives for paddy straw through mulching, green energy, eco-cutlery, eco-friendly housing and composting to supplement farmer incomes by creating value from waste. All these executive programs would benefit immensely if individual legislators showed greater agency to bring executive projects and practices to fruition and success.

And finally, the bureaucracy. The iron frame of the bureaucracy has the scope for highest impact because they can work in the background and apolitically implement best practices from within and outside their state. District magistrates in Punjab and Haryana can learn from Pathankot, which was able to reduce farmer apprehension in using stubble as fodder for cattle by sharing best practices, innovative communication and creating market linkages between agriculturists and dairy farmers. In 2019, this led to no stubble fires in the district. Similarly, they could replicate and scale the prudent and practical work of the Kheti Virasat Mission on crop diversification conducted by them in Faridkot, in their own district. They could emulate Chhattisgarh’s Gauthan model of allowing composting on a 5-acre patch of barren land that enables social entrepreneurs and cooperatives to localise production and distribution of fertilizers using stubble as an input, again generating local value from local waste.

Senior bureaucrats in the government of India and state governments can connect disconnected silos of funds, plans and mandates to align disparate functions with common outcomes. If coordinated well, the Finance Commission grants for stubble burning reduction, pollution cess in states, CSR donations of private companies and philanthropic donations could be mobilized rapidly into a common air quality emergency fund to implement innovative solutions at scale. For example, it could use granular and fidelitous satellite data to implement outcome-driven payment of incentives to farmers and villages that don’t indulge in stubble burning. It could bring to life and catalyse existing central and state government mandates of using biomass, for fuelling power plants and industrial boilers, instead of coal that is currently prevented by organisational inertia and viability gap funding for decentralised or local solutions.

Public problem solving requires participation and action from private markets, civil society and academia. Science can frame and measure the problem better and with its help technology can expand the scope of potential solutions. Companies, CSR and philanthropies can bring rapid scale, viability and sustainability to these solutions. Civil society activists and citizens can bring individual and collective action in implementing these solutions with tenacity and passion. However, for that, the state must understand that it can’t solve this problem by itself. It can get by with a little help from its friends. Collaboration with competence with a base layer of compassion might be the only way that we can collectively breathe easy.

Roshan Shankar has been an advisor in the Delhi government since 2015.

Prasun Bansal holds degrees in mechanical engineering, aerospace engineering and management from IIT Delhi, Stanford and IIM-Ahmedabad respectively. Previously he has worked with NASA and Boeing.",[],2022-10-25 21:58:00+05:30,https://s3.ap-southeast-1.amazonaws.com/images.deccanchronicle.com/dc-Cover-3vjbntbd50mtd88okrar06m2v4-20200303042046.Medi.jpeg,[],[],,[],[]
Punjab and Delhi join hands for stubble management,"New Delhi: The Punjab and Delhi governments have joined hands to combat stubble burning by managing the straw in the fields by spraying Pusa bio-decomposer on 5,000 acres in Punjab as a pilot project.

In a press statement on Thursday, Punjab Agriculture Minister Kuldeep Singh Dhaliwal said high-level meetings were held in New Delhi on the issue.

Also Read Arvind Kejriwal dines at auto driver’s home in Ahmedabad

Earlier, Dhaliwal had met Delhi Chief Minister Arvind Kejriwal regarding the management of the pollution caused by stubble burning in New Delhi, who assured full support to him.

Later, he held deliberations with his Delhi’s counterpart Gopal Roy. He said this project would be done jointly by the governments of both states.

The minister said under the process, Pusa bio-decomposer will be sprayed on the stubble following which the stubble gets mixed in the soil hence the farmers will not need to burn the stubble./

Punjab & Delhi governments have joined hands to combat stubble burning by managing straw by spraying Pusa bio decomposer on 5000 acres in Punjab as pilot project. Cabinet Minister Kuldeep Singh Dhaliwal met Delhi CM @ArvindKejriwal & said that this project would be done jointly. pic.twitter.com/g6U0lgHTnD — Government of Punjab (@PunjabGovtIndia) September 15, 2022

The Punjab government has made adequate preparations to prevent the pollution caused by paddy stubble under which various types of equipment are being provided to the farmers on subsidy, awareness drives and surveillance teams have been formed in all districts.

Targeting the Union government for turning down cash incentive proposal to farmers for not burning stubble, he called the step anti-farmer, anti-Punjab and said that the state government had proposed to give Rs 2,500 per acre to paddy growers.

He said a massive awareness drive would be launched in the rural belt of Punjab comprising officials of the Rural Development and Panchayat to persuade farmers to manage the stubble.",['Indo-Asian News Service'],2022-09-15 07:48:58+00:00,https://cdn.siasat.com/wp-content/uploads/2022/09/Punjab-Delhi-governments-have-joined-hands-to-combat-stubble-burning-.png,[],[],,[],[]
Stubble burning not ‘political issue: Tomar,"New Delhi: Amid rising air pollution in the national capital, Union agriculture minister Narendra Singh Tomar on Friday expressed concerns over politics being played on the stubble burning issue and urged Delhi as well as neighbouring states to take steps to curb the menace.

There is more discussion on “politics” surrounding stubble burning than its impact on land and what steps farmers should take to curb it, Tomar said.

He also rued that stubble burning incidents are rising despite the Centre providing crores of funds and machines to tackle the problem, saying it is definitely a cause of concern.

At an event here, Tomar appealed to four state governments — Punjab, Uttar Pradesh, Haryana and Delhi — to take steps to control stubble burning by making use of available solutions such as Pusa decomposer, a bio-decomposer technique that converts stubble into compost much faster than usual.

Last week, the minister held a review meeting with state government officials concerned on the stubble burning situation which has resulted in severe pollution in the national capital.

Tomar also said that he is ready to meet chief ministers of respective states in case they want to have further discussions on the issue.

While addressing the day-long event on ‘Pusa decomposer’, Tomar said that ever since stubble burning has become a major issue, the Centre, states, and judiciary have taken note of it, and schemes also have been implemented to deal with the menace.

Pusa decomposer, developed by the Indian Council of Agricultural Research (ICAR), is cheaper and easier to use. It not only controls stubble burning but also improves the soil fertility and productivity of soil, he added.

Every year, stubble burning in neighbouring states during the paddy harvesting season contributes significantly to air pollution in the national capital and northern India.

For management of stubble, the Centre has provided Rs 3,138 crore to four states since 2018-19 and 2 lakh machines have been made available to them. Out of the total amount, more than Rs 1,400 crore has been given to Punjab, Rs 900 crore to Haryana, Rs 713 crore to Uttar Pradesh and Rs 6-7 crore to Delhi, Tomar said.

“If those machines (like Happy seeder, a tractor mounted machine that cuts and lifts rice straw and sows wheat into the soil, and deposits the straw over the sown area as mulch) are put to use fully, there won’t be a problem. If states want to control it, then the answer lies in using whatever solutions are available at present,” he said.

Asserting that Pusa decomposer is a successful technique for decomposing the stubble, the minister said, “It is cheaper and easier to use. Farmers have used it. Decomposer will not only control stubble burning but improve soil fertility.”

Some states, especially Uttar Pradesh and Haryana, have done good work and are moving towards a positive direction, he added.

“About 2 lakh machines have been purchased through states… if a state is determined, it can control stubble burning,” Tomar told reporters on the sidelines of the event.

As agriculture minister, Tomar said he feels bad when farmers are blamed for the rise in pollution in Delhi.

“I am agriculture minister and represent the farming community. If pollution in Delhi rises due to farmers, I feel they are blaming me. It is everyone’s responsibility to get rid of this stigma on farmers,” he said.

He emphasised that stubble burning is not a “political issue,” it is affecting both soil and air. But there is more debate on “politics” than its impact on the environment.

“In the evening those not concerned with the topic debate on the issue without any logic. Usually, the discussion is not on what farmers should do to address this problem,” he said.

He said that paddy is grown and machines are used for harvesting, which results in huge quantities of stubble. “The discussion is necessary on how to manage this stubble and what steps farmers, scientists and the governments should take”.

Agriculture secretary Manoj Ahuja said, “stubble burning has posed a big challenge before us and we have to address this at the earliest. About 55 per cent stubble burning happens in Punjab while rest in Delhi, Haryana and very less in Uttar Pradesh and Rajasthan.”

In Punjab, farmers burn the paddy stubble as they have less time for planting wheat. Several steps have been taken to promote short duration paddy varieties that can be harvested in 135-145 days instead of 165 days of present paddy variety, he said.

About two lakh machines like ‘Happy seeder’ and ‘Smart seeder’ have been made available to the farmers and even Pusa decomposer is successful in converting the stubble into compost, he said, and urged farmers and states to use the available solutions to address the problem of stubble burning.",['Press Trust Of India'],2022-11-04 17:13:05+00:00,https://cdn.siasat.com/wp-content/uploads/2022/11/Narendra-Singh-Tomar-nov4-.jpg,[],[],,[],[]
FIFA World Cup 2022 Japan vs Croatia Live Updates: Croatia beat Japan 3-1 on penalties to progress to quarter-final,FIFA World Cup 2022 Japan vs Croatia Live Updates: Croatia beat Japan 3-1 on penalties to progress to quarter-final,"['- State Bjp Chief Cr Patil', '- Eam S Jaishankar']",None,"https://img.etimg.com/thumb/msid-95988835,width-600,resizemode-4,imglength-80314/news/newsblogs/daily-news-and-latest-updates-live-5-december-2022.jpg",[],[],,[],[]
Will take 4-5 years to properly resolve stubble burning issue: Punjab pollution control body,"October 04, 2022 12:31 pm | Updated 12:38 pm IST - New Delhi

Crop diversification is not a long-term solution to the problem of stubble burning and it will take four to five years to properly resolve the issue, a senior official of the Punjab Pollution Control Board (PPCB) has said.

Crop diversification and using short duration varieties of paddy are among several initiatives proposed by the Centre and experts to resolve the stubble burning issue in Punjab and Haryana.

At a workshop organised by the Delhi-based Climate Trends in Chandigarh on Monday, PPCB Member Secretary Krunesh Garg said counting the number of farm fires is an inaccurate measure of ascertaining the scale of stubble burning and that the acreage of land being put on fire is the parameter to be measured.

Also Read | Stubble burning is not the only culprit

“It's not that the problem is not being addressed, we are mapping it down to the block and village level, but it will take four-five years for proper resolution,"" Mr. Garg said.

The area under paddy cultivation in Punjab has increased from 29.61 lakh hectares in last year to 31.13 lakh hectares this year. This would result in the generation of 19.76 million ton of paddy straw this year as compared to 18.74 MT last year.

“Crop diversification is not a long-term solution because it does not mean that biomass will not be produced by other crops. It will just be another kind of biomass waste, like cotton sticks, mustard straw waste etc.

Also Read | Delhi may breathe better air during October-November

""Issues with respect to (stubble) burning will always remain. So, we need to find solutions, both in situ and ex-situ. A combination of these can only be effective,” Mr. Garg said.

Dr Adarsh Pal Vig, Chairman, Punjab Pollution Control Board said, “It is a social and a psychological problem where behaviour and attitude of farmers also needs to be addressed."" He said urbanisation and the exploding population in cities are causing a problem. Due to such factors, big cities like Delhi are already sitting on a tipping point and stubble becomes the last straw every season.

Also Read | Up in the air — on stubble burning

Along with unfavourable meteorological conditions, paddy straw burning in Punjab and Haryana is a major reason behind the alarming spike in air pollution levels in the national capital in October and November. Farmers set their fields on fire to quickly clear off the crop residue before cultivating wheat and potato.

According to the Indian Agricultural Research Institute, Punjab had reported 71,304 farm fires between September 15 and November 30 last year and 83,002 farm fires in the corresponding period in 2020.

Last year, the share of farm fires in Delhi's PM 2.5 pollution had peaked to 48% on November 7.",[],2022-10-04 07:01:42+00:00,https://th-i.thgim.com/public/incoming/b2mcrl/article65969538.ece/alternates/LANDSCAPE_1200/6270_31_5_2022_15_19_42_2_FARMERSTUBBLESTANDALONE2022_31_05_2.JPG,[],[],,[],[]
"Antimicrobial resistance: India needs waste management, process control to prevent antibiotic pollution","Manufacturing process needs control measures; 43% of world’s rivers contaminated with active pharmaceutical ingredients

The domestic pharmaceutical industry needs to take the lead in limiting antibiotic pollution — one of the biggest problems the world is staring at.

Almost half, or 43 per cent, of the world’s rivers are contaminated with active pharmaceutical ingredients in concentrations that can have disastrous ramifications on health. The industry must prioritise wastewater management and process controls to limit antibiotic pollution and AMR.

There is widespread acknowledgement of the interconnectivity between humans, animals, and the environmental ecosystem. But unsustainable development patterns due to anthropological activities continue to usher in a climate crisis that has far-reaching consequences.

Read more: Antimicrobial resistance: How factory farming is destroying our planet



The interdependence between human and animal health was first recognised in 1856 by Rudolf Virchow, the father of modern medicine. World leaders later put it together to form the Manhattan Principles that formed the basis of the One Health concept.

The recently adopted Glasgow Climate Pact has called upon countries to facilitate the adoption of greener technologies to phase out the use of fossil fuels. The development and deployment of such technologies is also critical for the pharmaceutical sector that has formed the backbone of the growth of many economies including India.

While the sector plays a fundamental role in improving health outcomes through the invention of life-saving products, its emission intensity is 55 per cent more than the automotive sector.

The release of untreated effluents into the soil and water bodies add to the pollution of the environment during the manufacturing of various pharmaceuticals, including antibiotics. Further, untreated antibiotic residues also accelerate the build-up of antimicrobial resistance (AMR).

AMR is often dubbed as one of the top 10 public health threats facing humanity. It occurs when disease-causing pathogens develop a resistance against the pharmaceuticals that could have neutralised them.

The build-up of AMR can happen due to several factors across the human, animal, and environmental ecosystems. In 2019, AMR accounted for more than half a million deaths in the European region and about five million globally.

Pivoting to sustainable waste management and process-control practices assumes acute significance in the Indian context. India already accounts for 20 per cent of the global supply of medication, making it the largest supplier of generic medicines worldwide.

Read more: Unregulated use of antibiotics a threat to public health, say experts



India’s production capacity is all set to expand further with the government’s recent impetus on the domestic production of pharmaceuticals. Against this background, the country’s National Action Plan on AMR (NAP-AMR) called for limiting pharmaceutical pollution.

Strategic Pillars 2 and 3 under the NAP-AMR focused on developing frameworks for the surveillance of residues discharged in the environment and developing a plan to reduce the environmental impact on AMR, respectively. However, this policy impetus is yet to translate into on-ground implementation.

Recently, widescale pharmaceutical pollution has been reported across the country, particularly in pharmaceutical hubs like Himachal Pradesh, Andhra Pradesh, and Telangana. This was also reiterated by a study that reported dangerous levels of antibiotic residues in Indian rivers.

Apart from government regulation, there is a need for the domestic Indian pharmaceutical industry to optimise its waste management and process control to limit the rising antibiotic pollution in the country. Adopting innovative technology and self-regulation can help the industry reduce its carbon footprint and minimise its environmental impact.

The former is also evident from Centrient Pharmaceuticals Netherlands BV’s plant at Toansa, Punjab, where the adoption of state-of-art API technology led to a 60-62 per cent reduction in the plant’s carbon footprint.

The AMR Industry Alliance (AMRIA) has developed the Predicted No-Effect Concentrations (PNEC) criteria further to facilitate the industry in regulating its discharge of effluents. The compliance to PNEC value for Centrient’s oral API product line and supply chain has helped the company reduce the environmental impact of manufacturing.

Additionally, the efforts of the industry must be supported by the government by incentivising sustainable procurement practices. The government can take a cue from countries like the United Kingdom, Norway, Sweden and Germany, among others, which have policies in place that provide benefits to manufacturers with greener practices.

Adherence to these practices will also prevent the Indian pharmaceutical industry from losing its competitive advantage in export markets.

Read more: Clear and present danger: Lancet study highlights AMR time bomb in India, world



The containment of AMR in India is crucial for realising several policy goals, including the United Nations Sustainable Development Goals.

While collective action is needed from various stakeholders, the domestic pharmaceutical industry should also take the lead, especially in limiting antibiotic pollution.

AMR is everybody’s problem and in line with the theme of the seventh World Antimicrobial Awareness Week, I would like to urge the policymakers, academia, healthcare experts, industry, environmentalists and the government to join hands and prevent the silent pandemic of AMR.

Suman Sharma is the director for sustainable antibiotic manufacturing, Centrient Pharmaceuticals

Views expressed are the author’s own and don’t necessarily reflect those of Down To Earth",[],None,https://cdn.downtoearth.org.in/library/large/2022-11-16/0.61581600_1668601576_0.jpg,[],[],,[],[]
Summer fire activities thrice than winter months in 2021,"Punjab, Haryana recorded close to 23,000 cases of farm fires from March 1-May 11, 2022

By Pulaha Roy

Stubble burning, considered one of the driving factors of north India’s winter pollution, has reared its head in the middle of summer. Satellite images have picked up a large concentration of farm fire incidents in the country’s north.

Satelites could spot a total of 9,874 fire activities across India (7,429) and Pakistan (2,445) from May 9-May 10, 2022.

Forest fires peak in India during March and April, according to historical data. In 2021, data showed that fire activities in the months of March and April were three times more than what it was during October, November and December.

But fire activities during summer don't feature much in the discussion.

Across the Indian subcontinent, fire activities detected by the National Aeronautics and Space Administration’s (NASA) Fire Information for Resource Management System (FIRMS) showed fire activities across the Punjab province in Pakistan as well as in India, while Haryana also witnessed fire instances in the 24-hour period.

Isolated pockets of fire activities were also scattered across India as seen in the map.

The next big fire hotspot in the subcontinent was the forested regions criss-crossing the borders of Chhattisgarh, Andhra Pradesh, Odisha and parts of Telangana. Various national parks and wildlife sanctuaries —like the Papikonda National Park in Andhra Pradesh and wild buffalo sanctuary at Pamed in Chhattisgarh — span across borders of the four states.

But the talk around fire activities revolves mostly around stubble burning across north India, specifically Punjab and Haryana. FIRMS data on fire activities in India for 2021, however, showed that in the months of March and April, overall count was just a little over three times of what one experienced in the months of October, November and December combined.

In 2021, there were a total of 760,000 instances of fire activities detected by NASA’s ​​Visible Infrared Imaging Radiometer Suite (VIIRS) satellite, with just over 60 per cent of the burning happening in just the two months of March and April.

But how do we know if it's forest fire or fire from stubble burning?

VIIRS, which was modelled on another NASA product MODIS, detects fire activities through heat sensors whenever the temperature exceeds 815 degrees Celsius — the temperature required for an established wildfire to burn.

But, even then, there is no way of telling what is what — whether the wildfire is actually man-made like stubble fire burning or forest fire which gets ignited because of high temperatures and dry conditions.

Down To Earth extrapolated data of fire incidents, as well as vegetation as well as forest cover from two different datasets. The darker shade of green indicates forest cover, while a lighter shade indicates local vegetation cover like farmlands, shrubs and bushes.

From the image processed, it can be ascertained that stubble fire activities are underway in the states of Punjab on both sides of the border, as well in the state of Haryana in India.

In 2021, Haryana and Punjab reported over 15,000 instances of stubble burning from March 1 to May 11, VIIRS data showed. In 2022, the figure rose to almost 23,000.

Further south of the country, in the border regions of Chhattisgarh, Andhra Pradesh, Odisha and parts of Telangana, fire spots detected by VIIRS were triggered because of a forest fire.

Why no one’s talking about fire summer activities

Discussions around fire activities generally revolve around stubble burning that impacts air quality across the northwestern regions of the subcontinent and the Indo-Gangetic plains.

But, a more granular-analysis of the fire data showed the bulk of the activities peak in the summer months mostly triggered by forest fires instead of stubble fires.

With the world warming at a faster rate, currently at 1.1°C over pre-industrial levels, irrespective of whether it be forest fire or stubble burning, high temperatures and dry conditions due to climate change is only exacerbating the situation.",[],None,https://cdn.downtoearth.org.in/library/large/2022-05-12/0.19993500_1652336493_india_firepoints-01-(1).png,[],[],,[],[]
"Delhi govt. to spray bio-decomposer solution over paddy fields to check stubble burning, winter pollution","September 21, 2022 01:47 am | Updated 01:47 am IST - New Delhi

:

To control stubble burning and reduce air pollution during winter, the Delhi government will spray a bio-decomposer free of cost over 5,000 acres of paddy fields in the city this year, Environment Minister Gopal Rai said on Tuesday.

A bio-decomposer capsule, developed by the Indian Agricultural Research Institute, turns into a solution through a week-long process, after which it decomposes straw and stubble into manure.

Positive results

The Delhi government first used the solution in 2020 and then again in the following year. On both occasions, the government claimed to have achieved positive results.

To spray the bio-decomposer solution, Mr. Rai said, 21 teams have been formed, which include officials of the Agriculture and Revenue Departments.

“The bio-decomposer will be sprayed for free by the government in all the Basmati and non-Basmati paddy farms in Delhi,” the Minister added.

The bio-decomposer solution is one of the 15 focus points in the government’s Winter Action Plan, which will be released later this month. The Minister said this year the bio-decomposer has also been provided in the form of a powder and the government plans to use it on 1,000 acres on a trial basis.

“We received a very positive result last year. The stubble decomposed properly. Moreover, there was an increase in the fertility of the soil,” Mr. Rai said. The teams responsible will start spraying the bio-decomposer solution from the first week of October, Mr. Rai said.

Fighting pollution

Every winter air pollution spikes in the national capital and adjoining areas due to multiple reasons, including slow wind speed, bursting of firecrackers and pollution from stubble burning.

A list of emergency measures to control air pollution in Delhi-NCR, such as closing schools and stopping construction work, are undertaken each year during the winter months.

As per the latest Graded Response Action Plan, prepared by the Commission for Air Quality Management, emergency measures will now be implemented based on predictions on air quality, three days in advance.",[],2022-09-20 20:17:32+00:00,https://th-i.thgim.com/public/incoming/wosadx/article65915726.ece/alternates/FREE_1200/6270_23_10_2021_15_52_22_4_DSC1876_9.JPG,[],[],,[],[]
Blame for stubble burning in Punjab rests with Centre: Rai,"October 22, 2022 12:54 am | Updated 12:54 am IST - New Delhi

Delhi Environment Minister Gopal Rai on Friday said the Centre’s “blunt” refusal to provide cash incentives to Punjab farmers to avoid stubble burning “has impacted the entire campaign [against stubble burning] in the State”.

Speaking at a press conference here on Friday, Mr. Rai said the Punjab government had come up with a plan to provide financial assistance of ₹2,500 per acre to its farmers to dispose of crop residues without harming the environment.

The proposal

“The farmers had demanded financial support [for not burning stubble]. The State government then prepared a proposal stating that [the governments of] Delhi and Punjab would give ₹500 each with the Centre contributing the remaining ₹1,500,” said Mr. Rai.

“However, the way the Centre has bluntly denied [the request]... it has impacted the entire campaign [against stubble burning] in the State. But the Punjab government is conducting awareness campaigns and we hope that there will be fewer fire events this year compared with last year. There would have been a big impact [on stubble burning] had the Centre provided support,” he also said.

‘Did nothing’

Hitting back, BJP spokesperson Praveen Shankar Kapoor said that despite being in power in both the States, AAP “has done nothing” about the problem of stubble burning and has instead “tried to pass the buck to the Centre in the name of this proposal”.

According to Punjab government officials, the Centre rejected the proposal saying it has been providing subsidised machinery, such as happy seeders, rotavators and mulchers, to the State’s farmers for the in situ management of paddy straw.

Mr. Rai said that the proposal was conceived after the Punjab government officials held exhaustive consultations with the State’s farmers, who had asked for a cash incentive to help them cover the cost of fuel used in operating the machinery for the in situ management (mixing crop residue in soil) of paddy straw.

The proposal was then sent to the Centre and the Commission for Air Quality Management in July, he added.

(With inputs from PTI)",[],2022-10-21 19:24:06+00:00,https://th-i.thgim.com/public/incoming/ma4yz4/article66041908.ece/alternates/FREE_1200/6270_21_10_2022_19_38_39_4_GOPALRAIDIWALIDIYA_21_10_4.JPG,[],[],,[],[]
