title,link
From paddy to palm oil: Telangana focuses on water intensive crops,{'https://news.google.com/articles/CBMiZWh0dHBzOi8vaW5kaWEubW9uZ2FiYXkuY29tLzIwMjIvMTIvZnJvbS1wYWRkeS10by1wYWxtLW9pbC10ZWxhbmdhbmEtZm9jdXNlcy1vbi13YXRlci1pbnRlbnNpdmUtY3JvcHMv0gEA?hl=en-IN&gl=IN&ceid=IN%3Aen'}
"‘Telangana’s agricultural output has increased quickly’, says Niranjan Reddy",{'https://news.google.com/articles/CBMiaGh0dHBzOi8vd3d3LnNpYXNhdC5jb20vdGVsYW5nYW5hcy1hZ3JpY3VsdHVyYWwtb3V0cHV0LWhhcy1pbmNyZWFzZWQtcXVpY2tseS1zYXlzLW5pcmFuamFuLXJlZGR5LTI0NjU3NDcv0gFsaHR0cHM6Ly93d3cuc2lhc2F0LmNvbS90ZWxhbmdhbmFzLWFncmljdWx0dXJhbC1vdXRwdXQtaGFzLWluY3JlYXNlZC1xdWlja2x5LXNheXMtbmlyYW5qYW4tcmVkZHktMjQ2NTc0Ny9hbXAv?hl=en-IN&gl=IN&ceid=IN%3Aen'}
Telangana: Agricultural residential degree colleges invite applications for first-year admissions,{'https://news.google.com/articles/CBMie2h0dHBzOi8vdGVsYW5nYW5hdG9kYXkuY29tL3RlbGFuZ2FuYS1hZ3JpY3VsdHVyYWwtcmVzaWRlbnRpYWwtZGVncmVlLWNvbGxlZ2VzLWludml0ZS1hcHBsaWNhdGlvbnMtZm9yLWZpcnN0LXllYXItYWRtaXNzaW9uc9IBAA?hl=en-IN&gl=IN&ceid=IN%3Aen'}
"Telangana sets new benchmarks in agricultural cultivation, production",{'https://news.google.com/articles/CBMiX2h0dHBzOi8vdGVsYW5nYW5hdG9kYXkuY29tL3RlbGFuZ2FuYS1zZXRzLW5ldy1iZW5jaG1hcmtzLWluLWFncmljdWx0dXJhbC1jdWx0aXZhdGlvbi1wcm9kdWN0aW9u0gEA?hl=en-IN&gl=IN&ceid=IN%3Aen'}
Telangana govt to provide free EAMCET coaching to these students,{'https://news.google.com/articles/CBMiYGh0dHBzOi8vd3d3LnNpYXNhdC5jb20vdGVsYW5nYW5hLWdvdnQtdG8tcHJvdmlkZS1mcmVlLWVhbWNldC1jb2FjaGluZy10by10aGVzZS1zdHVkZW50cy0yNDczMTk5L9IBZGh0dHBzOi8vd3d3LnNpYXNhdC5jb20vdGVsYW5nYW5hLWdvdnQtdG8tcHJvdmlkZS1mcmVlLWVhbWNldC1jb2FjaGluZy10by10aGVzZS1zdHVkZW50cy0yNDczMTk5L2FtcC8?hl=en-IN&gl=IN&ceid=IN%3Aen'}
"Be prepared for early Telangana Assembly elections, Revanth tells partymen",{'https://news.google.com/articles/CBMijgFodHRwczovL3d3dy50aGVoaW5kdS5jb20vbmV3cy9uYXRpb25hbC90ZWxhbmdhbmEvYmUtcHJlcGFyZWQtZm9yLWVhcmx5LXRlbGFuZ2FuYS1hc3NlbWJseS1lbGVjdGlvbnMtcmV2YW50aC10ZWxscy1wYXJ0eW1lbi9hcnRpY2xlNjYyMjYwODQuZWNl0gGTAWh0dHBzOi8vd3d3LnRoZWhpbmR1LmNvbS9uZXdzL25hdGlvbmFsL3RlbGFuZ2FuYS9iZS1wcmVwYXJlZC1mb3ItZWFybHktdGVsYW5nYW5hLWFzc2VtYmx5LWVsZWN0aW9ucy1yZXZhbnRoLXRlbGxzLXBhcnR5bWVuL2FydGljbGU2NjIyNjA4NC5lY2UvYW1wLw?hl=en-IN&gl=IN&ceid=IN%3Aen'}
Niranjan Reddy slams Pawan Kalyan over remarks against Telangana,{'https://news.google.com/articles/CBMiW2h0dHBzOi8vdGVsYW5nYW5hdG9kYXkuY29tL25pcmFuamFuLXJlZGR5LXNsYW1zLXBhd2FuLWthbHlhbi1vdmVyLXJlbWFya3MtYWdhaW5zdC10ZWxhbmdhbmHSAQA?hl=en-IN&gl=IN&ceid=IN%3Aen'}
KTR sure of TRS hattrick in 2023 Telangana Assembly polls,{'https://news.google.com/articles/CBMihAFodHRwczovL3d3dy5uZXdpbmRpYW5leHByZXNzLmNvbS9zdGF0ZXMvdGVsYW5nYW5hLzIwMjIvZGVjLzA3L2t0ci1zdXJlLW9mLXRycy1oYXR0cmljay1pbi0yMDIzLXRlbGFuZ2FuYS1hc3NlbWJseS1wb2xscy0yNTI1Nzg2Lmh0bWzSAYMBaHR0cHM6Ly93d3cubmV3aW5kaWFuZXhwcmVzcy5jb20vc3RhdGVzL3RlbGFuZ2FuYS8yMDIyL2RlYy8wNy9rdHItc3VyZS1vZi10cnMtaGF0dHJpY2staW4tMjAyMy10ZWxhbmdhbmEtYXNzZW1ibHktcG9sbHMtMjUyNTc4Ni5hbXA?hl=en-IN&gl=IN&ceid=IN%3Aen'}
Telangana: HC Junks Panchayat Resolution to Evict Tribal Community for Forest Ranger's Murder,{'https://news.google.com/articles/CBMiUWh0dHBzOi8vdGhld2lyZS5pbi9sYXcvdGVsYW5nYW5hLWhpZ2gtY291cnQtcGFuY2hheWF0LXJlc29sdXRpb24tZXZpY3QtZ3V0dGkta295YdIBX2h0dHBzOi8vbS50aGV3aXJlLmluL2FydGljbGUvbGF3L3RlbGFuZ2FuYS1oaWdoLWNvdXJ0LXBhbmNoYXlhdC1yZXNvbHV0aW9uLWV2aWN0LWd1dHRpLWtveWEvYW1w?hl=en-IN&gl=IN&ceid=IN%3Aen'}
Telangana: Forest Officer's Killing Brings to Fore Issue of Podu Cultivation Again,{'https://news.google.com/articles/CBMiUGh0dHBzOi8vdGhld2lyZS5pbi9lbnZpcm9ubWVudC90ZWxhbmdhbmEtZm9yZXN0LW9mZmljZXIta2lsbGluZy1wb2R1LWN1bHRpdmF0aW9u0gFeaHR0cHM6Ly9tLnRoZXdpcmUuaW4vYXJ0aWNsZS9lbnZpcm9ubWVudC90ZWxhbmdhbmEtZm9yZXN0LW9mZmljZXIta2lsbGluZy1wb2R1LWN1bHRpdmF0aW9uL2FtcA?hl=en-IN&gl=IN&ceid=IN%3Aen'}
