,fireID,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,geometry,agricultural,agricultural strict
0,0,18.3777,80.5314,318.6,1.0,1.0,2015-02-01,802,Aqua,MODIS,69,6.03,302.6,7.7,D,0.0,POINT (80.5314 18.3777),1,1
1,1,17.5898,80.9893,315.4,1.2,1.1,2015-04-01,750,Aqua,MODIS,59,6.03,299.5,8.8,D,0.0,POINT (80.9893 17.5898),0,0
2,2,17.6028,81.1612,311.8,1.2,1.1,2015-05-01,527,Terra,MODIS,46,6.03,299.8,6.0,D,0.0,POINT (81.1612 17.6028),0,0
3,3,17.5241,80.3135,317.0,1.1,1.0,2015-05-01,527,Terra,MODIS,69,6.03,302.0,9.3,D,0.0,POINT (80.3135 17.5241),1,0
4,4,17.7571,80.3404,317.2,2.5,1.5,2015-05-01,833,Aqua,MODIS,53,6.03,300.0,29.3,D,0.0,POINT (80.3404 17.7571),0,0
5,5,17.7513,80.3465,316.8,2.5,1.5,2015-05-01,833,Aqua,MODIS,57,6.03,300.8,27.5,D,0.0,POINT (80.3465 17.7513),0,0
6,6,17.7421,80.3616,324.6,2.1,1.4,2015-06-01,738,Aqua,MODIS,77,6.03,303.7,44.0,D,0.0,POINT (80.3616 17.7421),0,0
7,7,17.7385,80.342,328.7,2.1,1.4,2015-06-01,738,Aqua,MODIS,81,6.03,305.8,58.6,D,0.0,POINT (80.342 17.7385),1,1
8,8,17.9539,80.8069,314.0,1.0,1.0,2015-07-01,514,Terra,MODIS,52,6.03,302.8,5.6,D,2.0,POINT (80.8069 17.9539),0,0
9,9,19.0243,78.3855,317.1,1.2,1.1,2015-07-01,821,Aqua,MODIS,58,6.03,303.6,8.3,D,0.0,POINT (78.3855 19.0243),1,0
10,10,18.6166,77.9762,311.2,2.2,1.4,2015-09-01,502,Terra,MODIS,58,6.03,297.0,21.9,D,0.0,POINT (77.9762 18.6166),1,0
11,11,18.6144,77.9972,318.6,2.2,1.4,2015-09-01,502,Terra,MODIS,73,6.03,296.9,41.0,D,0.0,POINT (77.9972 18.6144),1,1
12,12,17.3005,80.9606,314.6,1.3,1.1,2015-09-01,502,Terra,MODIS,63,6.03,299.6,10.9,D,0.0,POINT (80.9606 17.3005),0,0
13,13,17.3021,80.9481,314.1,1.3,1.1,2015-09-01,502,Terra,MODIS,61,6.03,300.5,10.7,D,0.0,POINT (80.9481 17.3021),1,0
14,14,17.2146,80.7641,314.1,1.1,1.0,2015-09-01,808,Aqua,MODIS,54,6.03,302.3,6.1,D,0.0,POINT (80.7641 17.2146),0,0
15,15,16.0515,78.7864,328.2,1.0,1.0,2015-09-01,808,Aqua,MODIS,74,6.03,306.9,19.6,D,0.0,POINT (78.7864 16.0515),0,0
16,16,18.1696,78.6494,316.6,1.0,1.0,2015-09-01,808,Aqua,MODIS,53,6.03,304.2,6.1,D,0.0,POINT (78.6494 18.1696),1,1
17,17,18.171,78.6588,316.4,1.0,1.0,2015-09-01,808,Aqua,MODIS,52,6.03,304.1,5.9,D,2.0,POINT (78.6588 18.171),1,1
18,18,16.6521,77.9877,320.8,1.0,1.0,2015-09-01,808,Aqua,MODIS,58,6.03,308.6,7.5,D,0.0,POINT (77.9877 16.6521),1,1
19,19,17.8572,80.1516,317.4,1.0,1.0,2015-09-01,808,Aqua,MODIS,58,6.03,307.0,7.3,D,0.0,POINT (80.1516 17.8572),0,0
20,20,17.1496,80.8198,317.8,1.1,1.0,2015-09-01,808,Aqua,MODIS,65,6.03,305.7,7.6,D,0.0,POINT (80.8198 17.1496),1,1
21,21,17.6176,80.3436,317.3,1.0,1.0,2015-09-01,808,Aqua,MODIS,60,6.03,306.4,6.0,D,0.0,POINT (80.3436 17.6176),0,0
22,22,18.02,80.6688,317.4,1.1,1.0,2015-09-01,808,Aqua,MODIS,59,6.03,306.1,7.2,D,0.0,POINT (80.6688 18.02),1,1
23,23,16.8424,79.8627,315.3,1.0,1.0,2015-09-01,808,Aqua,MODIS,47,6.03,305.1,6.1,D,0.0,POINT (79.8627 16.8424),1,1
24,24,17.7721,80.0628,315.5,1.0,1.0,2015-09-01,808,Aqua,MODIS,40,6.03,305.4,5.9,D,0.0,POINT (80.0628 17.7721),0,0
25,25,18.1545,79.9015,316.4,1.0,1.0,2015-09-01,808,Aqua,MODIS,61,6.03,304.8,6.2,D,0.0,POINT (79.9015 18.1545),0,0
26,26,18.146,80.0396,323.7,1.0,1.0,2015-09-01,808,Aqua,MODIS,65,6.03,304.8,13.0,D,0.0,POINT (80.0396 18.146),1,1
27,27,18.1452,79.835,321.9,1.0,1.0,2015-09-01,808,Aqua,MODIS,72,6.03,305.3,11.0,D,0.0,POINT (79.835 18.1452),0,0
28,28,18.2986,79.9451,321.7,1.0,1.0,2015-09-01,808,Aqua,MODIS,73,6.03,305.7,9.9,D,0.0,POINT (79.9451 18.2986),1,1
29,29,18.2973,79.9356,331.9,1.0,1.0,2015-09-01,808,Aqua,MODIS,84,6.03,308.2,22.3,D,0.0,POINT (79.9356 18.2973),1,1
30,30,18.5915,79.8722,314.1,1.0,1.0,2015-09-01,809,Aqua,MODIS,56,6.03,302.9,5.4,D,0.0,POINT (79.8722 18.5915),1,1
31,31,18.2036,77.8151,331.2,1.0,1.0,2015-09-01,809,Aqua,MODIS,80,6.03,309.3,20.7,D,0.0,POINT (77.8151 18.2036),1,1
32,32,18.9335,78.6435,319.0,1.0,1.0,2015-09-01,809,Aqua,MODIS,65,6.03,304.9,8.8,D,0.0,POINT (78.6435 18.9335),1,1
33,33,18.5702,79.3843,331.2,1.0,1.0,2015-09-01,809,Aqua,MODIS,83,6.03,303.8,22.9,D,0.0,POINT (79.3843 18.5702),1,1
34,34,17.8345,80.8619,319.6,2.4,1.5,2015-10-01,545,Terra,MODIS,0,6.03,301.8,41.2,D,0.0,POINT (80.8619 17.8345),0,0
35,35,17.7498,80.1955,341.9,1.1,1.0,2015-11-01,756,Aqua,MODIS,90,6.03,307.1,45.4,D,0.0,POINT (80.1955 17.7498),0,0
36,36,18.5093,80.4004,321.1,1.1,1.0,2015-11-01,756,Aqua,MODIS,56,6.03,309.3,10.5,D,0.0,POINT (80.4004 18.5093),1,1
37,37,17.1789,80.8782,319.0,1.1,1.0,2015-11-01,756,Aqua,MODIS,69,6.03,302.6,10.0,D,0.0,POINT (80.8782 17.1789),1,0
38,38,18.1029,80.6424,316.3,1.1,1.0,2015-11-01,756,Aqua,MODIS,62,6.03,305.2,7.2,D,0.0,POINT (80.6424 18.1029),0,0
39,39,18.3891,80.5292,322.0,1.1,1.0,2015-11-01,756,Aqua,MODIS,65,6.03,306.2,11.0,D,0.0,POINT (80.5292 18.3891),1,0
40,40,17.6913,80.3583,330.2,1.1,1.0,2015-11-01,756,Aqua,MODIS,81,6.03,307.0,23.1,D,0.0,POINT (80.3583 17.6913),0,0
41,41,17.6928,80.3684,356.3,1.1,1.0,2015-11-01,756,Aqua,MODIS,98,6.03,309.2,77.4,D,0.0,POINT (80.3684 17.6928),1,0
42,42,16.0638,78.809,321.0,1.4,1.2,2015-11-01,756,Aqua,MODIS,42,6.03,304.7,17.4,D,0.0,POINT (78.809 16.0638),0,0
43,43,16.8283,78.0753,333.4,1.5,1.2,2015-11-01,756,Aqua,MODIS,82,6.03,310.0,39.0,D,0.0,POINT (78.0753 16.8283),1,1
44,44,17.7252,77.8498,321.6,1.5,1.2,2015-11-01,756,Aqua,MODIS,66,6.03,310.0,16.0,D,0.0,POINT (77.8498 17.7252),1,0
45,45,17.8771,78.0818,316.0,1.4,1.2,2015-11-01,756,Aqua,MODIS,40,6.03,305.8,8.7,D,0.0,POINT (78.0818 17.8771),1,1
46,46,16.0664,78.8013,322.8,1.4,1.2,2015-11-01,756,Aqua,MODIS,63,6.03,303.9,20.1,D,0.0,POINT (78.8013 16.0664),0,0
47,47,17.9643,79.9819,320.3,1.1,1.1,2015-11-01,756,Aqua,MODIS,0,6.03,306.4,11.0,D,0.0,POINT (79.9819 17.9643),0,0
48,48,18.4912,80.0558,327.2,1.1,1.0,2015-11-01,756,Aqua,MODIS,70,6.03,307.8,16.9,D,0.0,POINT (80.0558 18.4912),1,1
49,49,17.4889,78.2869,315.4,1.1,1.0,2015-12-01,533,Terra,MODIS,55,6.03,300.2,8.0,D,2.0,POINT (78.2869 17.4889),0,0
50,50,17.9,79.0313,313.6,1.1,1.1,2015-12-01,533,Terra,MODIS,55,6.03,303.4,6.0,D,0.0,POINT (79.0313 17.9),1,0
