,Crops 2017,Crops 2018,Crops 2019,Crops 2020,Crops 2021
0,849836,802551,902137,761404,844641
1,1975611,2078593,1839440,2066133,2182740
2,812996,861867,847520,844137,889952
3,1268147,1300430,1328201,1294461,1296141
4,1082324,1130839,1026739,1139548,1159068
5,1256216,1450355,1377551,1282916,1393983
6,74094,80052,74407,73218,77866
7,2636072,2642390,2613427,2634133,2671878
8,1504092,1530209,1540098,1568421,1570838
9,1426097,1511205,1448985,1536333,1559811
10,1689623,1762129,1706297,1499590,1601849
11,608231,692439,652087,614722,785097
12,1052763,1289175,1094039,995487,1246693
13,16980,16009,18246,8370,8911
14,1028544,1083704,1037687,1109942,1095294
15,917283,927706,944309,909185,915538
16,1210,52,219,1034,1970
17,57,48,644,8,10
18,685296,775776,658726,707742,787021
19,1083403,1105450,1101273,1093538,1089762
20,1633286,1748709,1773661,1764142,1743868
21,869523,978690,977275,905953,935134
22,1761699,1804960,1809406,1781318,1792747
23,1783430,1815354,1825511,1734546,1737569
24,1491873,1606085,1864448,1654009,1545670
25,229,120,47,13,0
26,1160241,1268434,1332624,1101593,1241847
27,2282736,2502979,2608758,2168972,2452286
28,1640948,1668508,1659341,1658167,1676761
29,1213948,1228583,1217872,1225344,1209770
30,896447,916884,909097,868520,877074
31,1963060,1983379,1982197,1936786,1949858
32,1429214,1404419,1454809,1460451,1465800
33,1861485,1958898,1949437,2040151,2066949
34,4789,6268,5031,3092,3719
35,863,546,697,47,471
36,1598645,1622827,1589176,1598766,1591678
37,4210,5085,6812,2491,5679
38,325960,261943,249776,226298,269165
39,550524,565123,576405,537285,533780
40,1830800,1871221,1614969,1821535,1868302
41,2044,1558,1530,1605,735
42,955787,981835,970818,960899,1000477
43,559723,538971,514850,536831,714328
44,1048643,1056842,1031595,1032312,964775
45,1718158,1735517,1706493,1719303,1779108
46,1501050,1644786,1688497,1607316,1657396
47,868012,987833,1045764,800148,1003019
48,712073,732549,701653,687825,722637
49,1340480,1374543,1394341,1354033,1359539
50,1341004,1287101,1355888,1185765,1258774
51,1618868,1682581,1859805,1640252,1620452
52,818770,874716,883451,819181,934453
53,31309,30987,29830,28076,26998
54,2171436,2184953,2232680,2141888,2199486
55,1130667,1165685,1195526,1192249,1165345
56,621261,633501,656748,632772,638845
57,1512333,1482981,1527382,1566846,1600994
58,837546,922814,1191914,1025569,943409
59,763719,928934,938468,925193,976574
60,1194645,1187800,1164983,1211618,1236121
61,1790693,1897182,2027662,2073368,2204472
62,1459728,1516979,1426448,1498732,1508740
63,1805036,1830149,1887078,1821418,1884010
64,924731,984320,1102701,1137762,1188542
65,662591,677022,700188,629225,648641
66,2246978,2256005,2203451,2247050,2236356
67,1352543,1382619,1490738,1307423,1497495
68,2534106,2572228,2581885,2551544,2548453
69,1276008,1191136,1208593,1042316,1049153
70,1013589,1054696,1100860,1174418,1134537
71,1608972,1656174,1585967,1619659,1727828
72,1548683,1554379,1490761,1480717,1479427
73,578937,641998,616301,611353,637686
74,1108307,1322405,1367282,1153916,1352494
75,974221,996766,802698,1076409,1169341
76,975042,1063623,1054261,1024566,1056980
77,1720701,1791145,1837710,1791196,1940304
78,1013508,1006067,947989,964282,1106845
79,0,0,0,0,0
80,988710,1022722,1030867,1032327,1065263
81,959479,968624,969756,941658,937492
82,1867951,1919882,1919725,1872470,1898858
83,1983605,2028261,2027460,2012086,2024144
84,1126485,1094796,1106747,1083098,1183277
85,2623456,2648939,2441586,2591014,2652276
86,1428777,1435692,1434162,1410850,1411403
87,988857,995173,1005580,997462,1003977
88,1340925,1380458,1388205,1358062,1360697
89,1521433,1563415,1426532,1446532,1631032
90,585495,584138,589343,567206,578389
91,1603622,1529642,1557240,1588612,1608450
92,1620831,1724955,1644067,1424929,1579080
93,1787548,1787915,1790375,1762729,1743872
94,1562282,1273826,1569038,1372380,1411786
95,1135863,1272703,1210479,1200709,1216033
96,2168965,2164904,2154954,2087883,2320353
97,1407394,1448880,1443466,1394857,1458056
98,1976331,2102695,2100317,2141035,2194219
99,1353001,1356365,1344730,1321056,1344944
100,1351127,1339882,1337371,1332825,1335631
101,1556824,1616169,1722954,1729401,1780807
102,1025099,1072439,1022110,1028474,1063688
103,193218,206125,198272,180938,200983
104,1383019,1622172,1802278,1673479,1717473
105,1430532,1474970,1433018,1378531,1480656
106,1354351,1579354,1482629,1533897,1695051
107,766845,770979,760454,753854,759026
108,2358376,2442270,2429300,2179882,2186535
109,1431995,1439751,1425769,1424613,1428217
110,1049231,1063748,1060754,1025636,1022466
111,548539,561883,523533,531701,563867
112,1751028,1827755,1712580,1872467,1946520
113,1709247,1777525,1701941,1795682,1849722
114,1691947,1752927,1754859,1717846,1739539
115,788687,855940,821632,877229,920266
116,1206394,1261384,1216287,1218182,1234015
117,1292799,1364756,1318858,1333970,1346071
118,1374018,1395982,1407104,1387238,1378651
119,1760628,1795145,1860103,1811562,1831066
120,1477687,1562549,1512743,1465070,1598726
121,950848,919904,933273,972140,1017838
122,1238313,1219262,1232249,1248737,1278840
123,975011,1029106,1024710,945062,962787
124,1289255,1384286,1326621,1356469,1388144
125,1437618,1440659,1445840,1402141,1464500
126,1853184,1941802,1923966,1865091,1929658
127,1905511,1903823,1899545,1916222,1960132
128,1131081,1147426,1144400,1115642,1121203
129,1722944,1663890,1937138,1627089,2056349
130,314775,310538,267397,215991,236787
131,730399,737429,731207,723948,729625
132,1195945,1213965,1219523,1185114,1187873
133,941016,945688,942412,929693,931299
134,1366760,1460310,1328654,1345314,1337212
135,934780,912374,916384,888506,927292
136,2474922,2492265,2457846,2464235,2452949
137,270249,212359,334116,254796,222891
138,2299716,2312065,2294902,2271149,2316625
139,1860542,1877393,1856339,1806080,1783043
140,957979,924778,944172,940321,1005313
141,1523218,1566633,1469261,1603697,1598353
142,1999168,1922187,1750691,1906643,1995232
143,153020,148749,171802,142572,86096
144,1428304,1426001,1443999,1426042,1437875
145,560857,684368,709728,541355,716227
146,931241,978555,975280,920140,843830
147,1760722,1773607,1788165,1775246,1806426
148,1079260,1099802,1086821,1080793,1079131
149,1271200,1273115,1270593,1245811,1240086
150,1070704,1079232,1053428,1031182,1028378
151,1108733,1129900,1051773,1144465,1201731
152,1439452,1483489,1470630,1452228,1464033
153,484351,526766,583321,476593,506090
154,2234492,2256486,2102103,2233623,2358257
155,1621,939,2235,613,2701
156,1269870,1290354,1287956,1282631,1285841
157,960620,1034902,1000166,1042587,1071850
158,959520,970042,990758,967990,990267
159,744622,786466,746763,670471,836396
160,1786604,1843989,1846017,1768857,1808466
161,518184,518864,478753,487717,503499
162,1150739,1223114,1132622,962970,1321337
163,1636917,1668234,1641372,1653103,1653655
164,1696891,1679916,1698218,1743353,1789780
165,2788852,2945334,2913576,2880559,2987369
166,756746,797620,825398,814952,798687
167,142878,142075,138541,131170,127375
168,1116206,1115064,1041515,1144748,1179422
169,1388618,1406341,1392026,1343318,1335829
170,1830178,1863138,1854380,1866803,1831399
171,940290,948311,952802,985565,1001641
172,8009,3997,3074,901,2757
173,0,0,0,0,0
174,880739,906300,893651,890227,875076
175,1226667,1225389,1214214,1197945,1202461
176,1247375,1239058,1242104,1218909,1222496
177,1207201,1223912,1205975,1215092,1224120
178,1357362,1335974,1321205,1255790,1486495
179,907440,851410,889971,780128,1095718
180,1776262,1744570,1797887,1781098,1811831
181,1465977,1480941,1482565,1448276,1426183
182,774530,752166,764374,814254,857699
183,1039399,1027376,1222999,981256,1101437
184,2883665,2830971,2837530,2798478,2756111
185,2477153,2569010,2491488,2497401,2524381
186,1413033,1492175,1504793,1501125,1519020
187,1259366,1283176,1285157,1273702,1278113
188,249396,246095,244977,237332,230697
189,2518185,2647424,2685356,2589466,2644293
190,548783,449459,567651,416766,549891
191,1426897,1392980,1396979,1362839,1342490
192,1137966,1177669,1199063,1153422,1172754
193,1047419,1033399,1026519,1023845,1036194
