,index,Dist_Name,Mandal_Nam,Year,Bengal Gram,Castor,Chillies,Cotton,Green Gram,Groundnut,Jowar,Maize,Onion,Paddy,Red Gram,Sesamum,Soyabean,Sugarcane,Sunflower,Kharif,Rabi
0,0,Rangareddy,Abdullapurmet,2016,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,0,Rangareddy,Abdullapurmet,2017,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
2,0,Rangareddy,Abdullapurmet,2018,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
3,0,Rangareddy,Abdullapurmet,2016,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
4,0,Rangareddy,Abdullapurmet,2017,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
5,0,Rangareddy,Abdullapurmet,2018,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
6,1,Nagarkurnool,Achampet,2016,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
7,1,Nagarkurnool,Achampet,2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
8,1,Nagarkurnool,Achampet,2018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
9,1,Nagarkurnool,Achampet,2016,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10,1,Nagarkurnool,Achampet,2017,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
11,1,Nagarkurnool,Achampet,2018,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
12,2,Nalgonda,Adavidevulapally,2016,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
13,2,Nalgonda,Adavidevulapally,2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
14,2,Nalgonda,Adavidevulapally,2018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
15,2,Nalgonda,Adavidevulapally,2016,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
16,2,Nalgonda,Adavidevulapally,2017,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
17,2,Nalgonda,Adavidevulapally,2018,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
18,3,Yadadri Bhuvanagiri,Addagudur,2016,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
19,3,Yadadri Bhuvanagiri,Addagudur,2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
20,3,Yadadri Bhuvanagiri,Addagudur,2018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
21,3,Yadadri Bhuvanagiri,Addagudur,2016,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
22,3,Yadadri Bhuvanagiri,Addagudur,2017,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
23,3,Yadadri Bhuvanagiri,Addagudur,2018,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
24,4,Mahabubnagar,Addakal,2016,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
25,4,Mahabubnagar,Addakal,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
26,4,Mahabubnagar,Addakal,2018,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
27,4,Mahabubnagar,Addakal,2016,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
28,4,Mahabubnagar,Addakal,2017,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
29,4,Mahabubnagar,Addakal,2018,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
30,5,Adilabad,Adilabad Rural,2016,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
31,5,Adilabad,Adilabad Rural,2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
32,5,Adilabad,Adilabad Rural,2018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
33,5,Adilabad,Adilabad Rural,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
34,5,Adilabad,Adilabad Rural,2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
35,5,Adilabad,Adilabad Rural,2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
36,6,Adilabad,Adilabad Urban,2016,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
37,6,Adilabad,Adilabad Urban,2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
38,6,Adilabad,Adilabad Urban,2018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
39,6,Adilabad,Adilabad Urban,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
40,6,Adilabad,Adilabad Urban,2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41,7,Jogulamba Gadwal,Aiza,2016,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
42,7,Jogulamba Gadwal,Aiza,2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
43,7,Jogulamba Gadwal,Aiza,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
44,7,Jogulamba Gadwal,Aiza,2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
45,7,Jogulamba Gadwal,Aiza,2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
46,8,Siddipet,Akkannapet,2016,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
47,8,Siddipet,Akkannapet,2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
48,8,Siddipet,Akkannapet,2018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
49,8,Siddipet,Akkannapet,2016,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
50,8,Siddipet,Akkannapet,2017,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
