,index,Dist_Name,Mandal_Nam,2016,2017,2018
0,0,Rangareddy,Abdullapurmet,851586,804039,903740
1,1,Nagarkurnool,Achampet,1979585,2083122,1842948
2,2,Nalgonda,Adavidevulapally,814151,862999,848686
3,3,Yadadri Bhuvanagiri,Addagudur,1269522,1301816,1329899
4,4,Mahabubnagar,Addakal,1086283,1134266,1029756
5,5,Adilabad,Adilabad Rural,1260302,1453807,1380970
6,6,Adilabad,Adilabad Urban,74885,80877,75213
7,7,Jogulamba Gadwal,Aiza,2641432,2646768,2617547
8,8,Siddipet,Akkannapet,1507516,1533805,1543687
9,9,Yadadri Bhuvanagiri,Alair,1430056,1515584,1453030
10,10,Jogulamba Gadwal,Alampur,1690817,1763433,1707488
11,11,Medak,Alladurg,610268,694315,654008
12,12,Bhadradri Kothagudem,Allapalli,1054638,1291545,1095890
13,13,Medchal_Malkajgiri,Alwal,17038,16089,18321
14,14,Rangareddy,Amangal,1031872,1087039,1040936
15,15,Wanaparthy,Amarchintha,928223,933960,948605
16,16,Hyderabad,Amberpet,1210,52,219
17,17,Hyderabad,Ammerpet,63,63,678
18,18,Nagarkurnool,Amrabad,685772,776570,659089
19,19,Suryapet,Ananthagiri,1087767,1109934,1105716
20,20,Sangareddy,Andole,1646371,1752269,1777641
21,21,Bhadradri Kothagudem,Annapureddipalle,873045,980094,978862
22,22,Nalgonda,Anumula_Haliya,1772724,1812552,1814604
23,23,Nizamabad,Armoor,1787822,1819504,1829643
24,24,Kumurambheem Asifabad,Asifabad,1493623,1607886,1866617
25,25,Hyderabad,Asifnagar,243,134,57
26,26,Bhadradri Kothagudem,Aswapuram,1161024,1269115,1333489
27,27,Bhadradri Kothagudem,Aswaraopeta,2283558,2503907,2609673
28,28,Yadadri Bhuvanagiri,Athmakur (M),1645031,1672713,1663486
29,29,Wanaparthy,Atmakur,1217938,1232088,1220891
30,30,Warangal_Rural,Atmakur,901069,920795,913028
31,31,Suryapet,Atmakur_S,1970308,1990652,1987868
32,32,Yadadri Bhuvanagiri,B.Pochampally,1431469,1406617,1457251
33,33,Jangoan,Bachannapet,1865801,1963561,1954090
34,34,Medchal_Malkajgiri,Bachupally,4814,6286,5062
35,35,Hyderabad,Bahadurpura,974,699,808
36,36,Mahabubnagar,Balanagar,1603447,1627786,1593829
37,37,Medchal_Malkajgiri,Balanagar,4251,5137,6882
38,38,Rangareddy,Balapur,326901,262718,250496
39,39,Nizamabad,Balkonda,553361,567243,579660
40,40,Nagarkurnool,Balmoor,1834532,1875656,1617727
41,41,Hyderabad,Bandlaguda,2130,1637,1606
42,42,Kamareddy,Banswada,960701,985617,973831
43,43,Vikarabad,Bantwaram,560949,540186,515665
44,44,Nirmal,Basar,1050363,1058573,1033256
45,45,Vikarabad,Basheerabad,1720867,1737575,1708398
46,46,Mahabubabad,Bayyaram,1505854,1649043,1692474
47,47,Adilabad,Bazarhathnoor,868420,988335,1046424
48,48,Jagtial,Beerpur,714257,735007,704242
49,49,Siddipet,Bejjanki,1347119,1379725,1404515
50,50,Kumurambheem Asifabad,Bejjur,1343389,1288209,1357187
51,51,Adilabad,Bela,1619968,1683801,1861641
52,52,Mancherial,Bellampalle,820648,876674,885507
53,53,Bhadradri Kothagudem,Bhadrachalam,31309,30987,29852
54,54,Nirmal,Bhainsa,2177329,2189611,2239021
55,55,Warangal_Urban,Bheemadevarapalli,1134151,1169025,1198864
56,56,Mancherial,Bheemaram,622068,634281,657481
57,57,Nizamabad,Bheemgal,1515431,1485982,1530484
58,58,Mancherial,Bheemini,841312,926361,1196534
59,59,Adilabad,Bheempoor,764437,929694,939283
60,60,Kamareddy,Bhiknoor,1198840,1191550,1168422
61,61,Yadadri Bhuvanagiri,Bhongiri,1794838,1901402,2032352
62,62,Mahabubnagar,Bhoothpur,1462754,1520211,1429516
63,63,Jayashankar Bhupalpally,Bhupalpally,1812351,1839659,1893242
64,64,Yadadri Bhuvanagiri,Bibinagar,927650,987160,1105934
65,65,Kamareddy,Bibipet,666632,679704,702715
66,66,Nagarkurnool,Bijinapalle,2250438,2259424,2206726
67,67,Adilabad,Boath,1352882,1383026,1491175
68,68,Nizamabad,Bodhan,2549362,2581196,2588674
69,69,Rajanna Sircilla,Boinpalli,1281061,1195414,1212301
70,70,Yadadri Bhuvanagiri,Bommalaramaram,1015477,1056569,1102694
71,71,Vikarabad,Bommaraspeta,1613570,1660974,1590656
72,72,Khammam,Bonakal,1552094,1557703,1494124
73,73,Jagtial,Buggaram,581051,644082,618196
74,74,Bhadradri Kothagudem,Burgampadu,1110662,1323721,1368468
75,75,Nalgonda,Chandampet,976308,999136,804327
76,76,Bhadradri Kothagudem,Chandrugonda,977107,1065241,1055904
77,77,Nalgonda,Chandur,1724531,1795178,1841959
78,78,Nagarkurnool,Charakonda,1017231,1009941,951512
79,79,Hyderabad,Charminar,0,0,0
80,80,Rajanna Sircilla,Chendurthi,990428,1024543,1032657
81,81,Warangal_Rural,Chennaraopet,963456,972642,973766
82,82,Mancherial,Chennur,1868959,1920863,1920782
83,83,Siddipet,Cherial,1990203,2035203,2034315
84,84,Bhadradri Kothagudem,Cherla,1127518,1095620,1114386
85,85,Rangareddy,Chevella,2628633,2654300,2445990
86,86,Karimnagar,Chigurumamidi,1432390,1439276,1437683
87,87,Suryapet,Chilkur,992660,998593,1009019
88,88,Jangoan,Chilpur,1345537,1384847,1392601
89,89,Mahabubnagar,Chinna Chinta Kunta,1526592,1568534,1431263
90,90,Mahabubabad,Chinnagudur,587945,586581,591789
91,91,Siddipet,Chinnakodur,1607051,1532822,1560692
92,92,Wanaparthy,Chinnambavi,1623014,1727230,1646378
93,93,Khammam,Chintakani,1791414,1791914,1794294
94,94,Kumurambheem Asifabad,Chintalamanepally,1564972,1275505,1571438
95,95,Suryapet,Chinthala palem,1136688,1273620,1211449
96,96,Nalgonda,Chinthapally,2173361,2169582,2159356
97,97,Jayashankar Bhupalpally,Chityal,1410976,1452538,1447171
98,98,Nalgonda,Chityal,1980449,2107089,2104691
99,99,Suryapet,Chivvemla,1357401,1360741,1349511
100,100,Karimnagar,Choppadandi,1355172,1344059,1341440
101,101,Yadadri Bhuvanagiri,Choutuppal,1559677,1618981,1726038
102,102,Rangareddy,Chowdergudem,1028467,1075868,1025290
103,103,Bhadradri Kothagudem,Chunchupally,194226,207334,199491
104,104,Kumurambheem Asifabad,Dahegaon,1386712,1624598,1805154
105,105,Nalgonda,Damaracherla,1432887,1477465,1435335
106,106,Narayanpet,Damargidda,1356258,1581668,1484780
107,107,Warangal_Rural,Damera,769711,773771,763331
108,108,Bhadradri Kothagudem,Dammapeta,2360203,2444169,2431263
109,109,Mancherial,Dandepalle,1434262,1441975,1427851
110,110,Mahabubabad,Danthalapalle,1052559,1067067,1064058
111,111,Nirmal,Dasturabad,550135,563673,525009
112,112,Nalgonda,Devarakonda,1754467,1831580,1715852
113,113,Mahabubnagar,Devarkadra,1712434,1781000,1705336
114,114,Jangoan,Devaruppula,1697412,1757810,1759678
115,115,Narayanpet,Dhanwada,795889,859550,825234
116,116,Jagtial,Dharmapuri,1208055,1263209,1218138
117,117,Peddapalli,Dharmaram,1296612,1370213,1322840
118,118,Warangal_Urban,Dharmasagar,1379716,1401853,1412950
119,119,Jogulamba Gadwal,Dharoor,1762977,1797482,1862470
120,120,Vikarabad,Dharoor,1482212,1565996,1515935
121,121,Nizamabad,Dharpally,953265,922177,935540
122,122,Nizamabad,Dichpally,1241682,1222250,1235266
123,123,Nirmal,Dilawarpur,978200,1031568,1027326
124,124,Vikarabad,Doma,1292548,1387816,1329924
125,125,Mahabubabad,Dornakal,1440702,1443864,1449131
126,126,Vikarabad,Doulthabad,1860530,1949306,1928040
127,127,Siddipet,Dubbak,1909932,1908331,1904003
128,128,Warangal_Rural,Duggondi,1135356,1151747,1148746
129,129,Bhadradri Kothagudem,Dummugudem,1725552,1664167,1937438
130,130,Medchal_Malkajgiri,Dundigal Gandimaisamma,317035,311705,268461
131,131,Peddapalli,Eligaid,733559,740599,734350
132,132,Warangal_Urban,Elkathurthi,1200492,1218338,1223869
133,133,Karimnagar,Ellandakunta,944464,949128,945851
134,134,Khammam,Enkoor,1369677,1463398,1331560
135,135,Mulugu,Eturnagaram,935024,912600,916612
136,136,Rangareddy,Farooqnagar,2480631,2498254,2463694
137,137,Adilabad,Gadiguda,270293,212445,334679
138,138,Jogulamba Gadwal,Gadwal,2304111,2315879,2298662
139,139,Siddipet,Gajwel,1866139,1882125,1861079
140,140,Rajanna Sircilla,Gambhiraopet,959719,926515,946025
141,141,Mahabubnagar,Gandeed,1527392,1570928,1473098
142,142,Kamareddy,Gandhari,2001309,1924222,1752244
143,143,Rangareddy,Gandipet,157185,151215,174247
144,144,Karimnagar,Gangadhara,1434224,1431907,1449955
145,145,Mahabubabad,Gangaram,561681,685541,710906
146,146,Karimnagar,Ganneruvaram,933567,980988,977825
147,147,Suryapet,Garidepalli,1765875,1778756,1793275
148,148,Mahabubabad,Garla,1083173,1103758,1090674
149,149,Warangal_Rural,Geesugonda,1275339,1277212,1274680
150,150,Jayashankar Bhupalpally,Ghanapur_Mulug,1076477,1082060,1056284
151,151,Wanaparthy,Ghanpur,1111501,1134055,1054559
152,152,Jangoan,Ghanpur (Stn),1446842,1488422,1476701
153,153,Medchal_Malkajgiri,Ghatkesar,485875,528268,585111
154,154,Jogulamba Gadwal,Ghattu,2240045,2259870,2105183
155,155,Hyderabad,Golkonda,1667,959,2313
156,156,Jagtial,Gollapalli,1273726,1294340,1291949
157,157,Wanaparthy,Gopalpet,963051,1037466,1002618
158,158,Mulugu,Govindaraopet,960397,970565,991280
159,159,Adilabad,Gudihathnur,746659,788196,748490
160,160,Mahabubabad,Gudur,1789912,1847422,1849558
161,161,Sangareddy,Gummadidala,519449,520058,479951
162,162,Bhadradri Kothagudem,Gundala,1151742,1224410,1133588
163,163,Yadadri Bhuvanagiri,Gundala,1641590,1673244,1646477
164,164,Nalgonda,Gundlapally,1701512,1684485,1702799
165,165,Nalgonda,Gurrampode,2804642,2953451,2920209
166,166,Mancherial,Hajipur,762444,798994,826804
167,167,Warangal_Urban,Hanamkonda,144990,143043,140032
168,168,Mahabubnagar,Hanwada,1118583,1117373,1043438
169,169,Warangal_Urban,Hasanparthy,1393835,1411418,1397040
170,170,Sangareddy,Hathnoora,1834789,1867663,1859543
171,171,Medak,Havelighanpur,942554,949796,954634
172,172,Rangareddy,Hayathnagar,8144,4050,3123
173,173,Hyderabad,Himayatnagar,0,0,0
174,174,Siddipet,Husnabad,883490,909181,896486
175,175,Suryapet,Huzur nagar,1231474,1230177,1219002
176,176,Karimnagar,Huzurabad,1251614,1242924,1245984
177,177,Jagtial,Ibrahimpatnam,1209887,1226691,1208713
178,178,Rangareddy,Ibrahimpatnam,1359438,1337982,1323289
179,179,Adilabad,Ichoda,910182,853581,892044
180,180,Rajanna Sircilla,Illanthakunta,1780065,1748095,1801558
181,181,Warangal_Urban,Inavolu,1471109,1484645,1486237
182,182,Nizamabad,Indalwai,777955,753308,765823
183,183,Adilabad,Inderavelly,1041222,1029230,1225163
184,184,Jogulamba Gadwal,Itikyal,2888179,2835528,2842092
185,185,Mahabubnagar,Jadcherla,2482840,2574924,2497207
186,186,Siddipet,Jagdevpur,1416917,1495150,1508119
187,187,Jagtial,Jagityal_Rural,1266573,1289195,1292212
188,188,Jagtial,Jagtial,252721,249371,247602
189,189,Adilabad,Jainad,2520591,2650250,2688413
190,190,Kumurambheem Asifabad,Jainoor,549967,450734,569324
191,191,Mancherial,Jaipur,1429129,1394222,1398421
192,192,Suryapet,Jajireddigudem,1140712,1180769,1202306
193,193,Nizamabad,Jakranpally,1049953,1035921,1029045
194,194,Karimnagar,Jammikunta,1205599,1205886,1187127
195,195,Jangoan,Jangoan,1382681,1582169,1630427
196,196,Mancherial,Jannaram,1086162,1107342,1077469
197,197,Sangareddy,Jharasangam,1568877,1822212,1474692
198,198,Kamareddy,Jukkal,1474190,1485389,1522045
199,199,Peddapalli,Julapalli,850595,869401,870078
200,200,Bhadradri Kothagudem,Julurupad,1356779,1445032,1429042
201,201,Nirmal,Kaddampeddur,982120,1127142,1048129
202,202,Rangareddy,Kadthal,1172443,1257685,1174382
203,203,Kumurambheem Asifabad,Kagaznagar,1631778,1655074,1876192
204,204,Sangareddy,Kalher,909243,1021775,1031552
205,205,Khammam,Kalluru,2114975,2215087,2181294
206,206,Jogulamba Gadwal,Kaloor_Thimmandoddi,1440568,1417706,1294094
207,207,Nagarkurnool,Kalwakurthy,2839864,2846925,2824128
208,208,Warangal_Urban,Kamalapur,1505544,1522946,1529160
209,209,Peddapalli,Kamanpur,441473,432698,440045
210,210,Kamareddy,Kamareddy,961979,994519,969814
211,211,Khammam,Kamepally,1553963,1610529,1568078
212,212,Nalgonda,Kanagal,2140643,2178240,2176062
213,213,Sangareddy,Kandi,1190048,1186754,1135015
214,214,Rangareddy,Kandukur,1987254,2122198,2065714
215,215,Sangareddy,Kangti,1082393,890037,931070
216,216,Mulugu,Kannaigudem,493307,451105,462887
217,217,Mancherial,Kannepalli,1076550,1197327,1352614
218,218,Medchal_Malkajgiri,Kapra,14195,15737,16051
219,219,Bhadradri Kothagudem,Karakagudem,878166,872912,868412
220,220,Karimnagar,Karimnagar,19673,25522,22938
221,221,Karimnagar,Karimnagar_Rural,937125,932341,923929
222,222,Mancherial,Kasipet,965518,914418,930993
223,223,Jayashankar Bhupalpally,Kataram,1325653,1416808,1488178
224,224,Jagtial,Kathlapur,1341419,1329730,1344373
