,index,ModifiedDateTime,FRP
0,0,2015-01-01,0.0
1,0,2015-02-01,0.0
2,0,2015-03-01,0.0
3,0,2015-04-01,0.0
4,0,2015-05-01,0.0
5,0,2015-06-01,0.0
6,0,2015-07-01,0.0
7,0,2015-08-01,0.0
8,0,2015-09-01,0.0
9,0,2015-10-01,0.0
10,0,2015-11-01,0.0
11,0,2015-12-01,0.0
12,0,2016-01-01,0.0
13,0,2016-02-01,0.0
14,0,2016-03-01,0.0
15,0,2016-04-01,10.8
16,0,2016-05-01,0.0
17,0,2016-06-01,7.9
18,0,2016-07-01,0.0
19,0,2016-08-01,0.0
20,0,2016-09-01,0.0
21,0,2016-10-01,0.0
22,0,2016-11-01,0.0
23,0,2016-12-01,0.0
24,0,2017-01-01,0.0
25,0,2017-02-01,0.0
26,0,2017-03-01,0.0
27,0,2017-04-01,0.0
28,0,2017-05-01,0.0
29,0,2017-06-01,0.0
30,0,2017-07-01,0.0
31,0,2017-08-01,0.0
32,0,2017-09-01,0.0
33,0,2017-10-01,0.0
34,0,2017-11-01,0.0
35,0,2017-12-01,0.0
36,0,2018-01-01,5.1
37,0,2018-02-01,0.0
38,0,2018-03-01,0.0
39,0,2018-04-01,0.0
40,0,2018-05-01,0.0
41,0,2018-06-01,0.0
42,0,2018-07-01,0.0
43,0,2018-08-01,0.0
44,0,2018-09-01,0.0
45,0,2018-10-01,0.0
46,0,2018-11-01,0.0
47,0,2018-12-01,0.0
48,0,2019-01-01,0.0
49,0,2019-02-01,0.0
50,0,2019-03-01,0.0
51,0,2019-04-01,0.0
52,0,2019-05-01,0.0
53,0,2019-06-01,0.0
54,0,2019-07-01,0.0
55,0,2019-08-01,0.0
56,0,2019-09-01,0.0
57,0,2019-10-01,0.0
58,0,2019-11-01,0.0
59,0,2019-12-01,0.0
60,0,2020-01-01,0.0
61,0,2020-02-01,0.0
62,0,2020-03-01,0.0
63,0,2020-04-01,0.0
64,0,2020-05-01,0.0
65,0,2020-06-01,0.0
66,0,2020-07-01,0.0
67,0,2020-08-01,0.0
68,0,2020-09-01,0.0
69,0,2020-10-01,0.0
70,0,2020-11-01,0.0
71,0,2020-12-01,0.0
72,0,2021-01-01,0.0
73,0,2021-02-01,0.0
74,0,2021-03-01,0.0
75,0,2021-04-01,0.0
76,0,2021-05-01,0.0
77,0,2021-06-01,0.0
78,0,2021-07-01,0.0
79,0,2021-08-01,0.0
80,0,2021-09-01,0.0
81,0,2021-10-01,0.0
82,0,2021-11-01,5.3
83,0,2021-12-01,7.86
84,1,2015-01-01,0.0
85,1,2015-02-01,0.0
86,1,2015-03-01,0.0
87,1,2015-04-01,0.0
88,1,2015-05-01,0.0
89,1,2015-06-01,0.0
90,1,2015-07-01,0.0
91,1,2015-08-01,0.0
92,1,2015-09-01,0.0
93,1,2015-10-01,0.0
94,1,2015-11-01,0.0
95,1,2015-12-01,0.0
96,1,2016-01-01,0.0
97,1,2016-02-01,0.0
98,1,2016-03-01,0.0
99,1,2016-04-01,0.0
100,1,2016-05-01,0.0
101,1,2016-06-01,0.0
102,1,2016-07-01,0.0
103,1,2016-08-01,0.0
104,1,2016-09-01,0.0
105,1,2016-10-01,0.0
106,1,2016-11-01,0.0
107,1,2016-12-01,0.0
108,1,2017-01-01,0.0
109,1,2017-02-01,0.0
110,1,2017-03-01,0.0
111,1,2017-04-01,0.0
112,1,2017-05-01,0.0
113,1,2017-06-01,0.0
114,1,2017-07-01,12.3
115,1,2017-08-01,0.0
116,1,2017-09-01,0.0
117,1,2017-10-01,0.0
118,1,2017-11-01,0.0
119,1,2017-12-01,0.0
120,1,2018-01-01,0.0
121,1,2018-02-01,0.0
122,1,2018-03-01,0.0
123,1,2018-04-01,0.0
124,1,2018-05-01,0.0
125,1,2018-06-01,0.0
126,1,2018-07-01,0.0
127,1,2018-08-01,0.0
128,1,2018-09-01,0.0
129,1,2018-10-01,0.0
130,1,2018-11-01,0.0
131,1,2018-12-01,0.0
132,1,2019-01-01,0.0
133,1,2019-02-01,0.0
134,1,2019-03-01,0.0
135,1,2019-04-01,0.0
136,1,2019-05-01,0.0
137,1,2019-06-01,0.0
138,1,2019-07-01,0.0
139,1,2019-08-01,9.966666666666667
140,1,2019-09-01,0.0
141,1,2019-10-01,0.0
142,1,2019-11-01,0.0
