,MAE,RMSE,R2,Accuracy,Features
2,54.040786996500366,68.48597908442092,0.37200639516758793,73.71371628409896,['RWI_median']
1,54.12713737976324,68.7610316642994,0.3669519847876791,73.70139403715031,"['POP_median', 'RWI_median']"
0,55.129069652509685,70.26640414940002,0.338930162787481,73.17522051236122,['POP_median']
32,58.80198285712087,86.055052038574,0.00847281358838714,74.1464430518038,"['Soybean', 'Cotton', 'Chillies', 'Turmeric']"
184,64.10822923979028,86.12575289573343,0.006842912325429551,68.98574323844946,"['time_to_rur_median', 'Chromic Luvisols', 'Chromic Vertisols', 'Eutric Nitosols', 'Lithosols', 'Pellic Luvisols']"
203,64.12278291960934,86.1386049405853,0.006546484105931949,68.98047023880346,"['time_to_rur_median', 'Chromic Luvisols', 'Chromic Vertisols', 'Eutric Nitosols', 'Lithosols', 'Pellic Luvisols', 'Plinthic Luvisols']"
223,64.13128452036574,86.15250791915209,0.006225766639235908,68.96254365088352,"['time_to_rur_median', 'Chromic Luvisols', 'Chromic Vertisols', 'Eutric Nitosols', 'Lithosols', 'Pellic Luvisols', 'Plinthic Luvisols', 'Vertic Cambisols']"
211,52.99180602153382,86.24743864403725,0.004034497071092047,79.91884710237899,"['RWI_median', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric', 'SSM_lagged', 'ST_median_lagged', 'BA_lagged', 'AOT_median_lagged', 'PRE_median_lagged', 'time_to_rur_median', 'Chromic Luvisols', 'Chromic Vertisols', 'Eutric Nitosols', 'Lithosols', 'Pellic Luvisols', 'Plinthic Luvisols', 'Vertic Cambisols']"
25,59.22818867504794,86.61580093310724,-0.004491196007935905,74.07410751618926,"['Soybean', 'Cotton', 'Chillies']"
185,66.58481261063282,86.74781216847128,-0.007555421549037433,67.75891505822604,"['Chromic Luvisols', 'Chromic Vertisols', 'Eutric Nitosols', 'Lithosols', 'Pellic Luvisols']"
224,66.57432750178052,86.76141693622876,-0.007871478681936939,67.76726444318496,"['Chromic Luvisols', 'Chromic Vertisols', 'Eutric Nitosols', 'Lithosols', 'Pellic Luvisols', 'Plinthic Luvisols', 'Vertic Cambisols']"
