,MAE,RMSE,R2,Accuracy,Features
0,12.480658967420025,15.243528988023513,-1.6072714747980181,71.64218567574095,['POP_median']
1,12.50085847395992,15.216465544407937,-1.5980217653963327,71.51921613636898,"['POP_median', 'RWI_median']"
2,12.492625598075325,15.246166669663145,-1.608173857324005,71.59243942101725,['RWI_median']
3,13.545501341901774,17.214591705283055,-2.325130269439053,68.9319506621083,"['POP_median', 'RWI_median', 'Paddy']"
4,13.55302856609523,17.222930539946002,-2.3283524692734483,68.94114815483283,"['RWI_median', 'Paddy']"
5,13.56231699065152,17.23079834537848,-2.331394089969991,69.10116210091704,['Paddy']
6,13.83760448279688,17.479138567793427,-2.428114048427106,68.19404054926436,"['POP_median', 'RWI_median', 'Paddy', 'Maize']"
7,13.834258937098394,17.491413353227685,-2.4329305488987782,68.23709909969462,"['RWI_median', 'Paddy', 'Maize']"
8,13.934551111468531,17.64263701634428,-2.4925465971442313,68.22865520803354,"['Paddy', 'Maize']"
9,13.530769921385964,16.960405249613423,-2.227659116929851,69.32399081526825,['Maize']
10,13.855381615882342,17.514731789292895,-2.4420897779513324,68.22940754049117,"['POP_median', 'RWI_median', 'Paddy', 'Maize', 'Soybean']"
11,13.857414367165493,17.527923029214556,-2.447276557996313,68.26656148869623,"['RWI_median', 'Paddy', 'Maize', 'Soybean']"
12,13.995804699662125,17.729127714841464,-2.5268740313521834,68.21844850418212,"['Paddy', 'Maize', 'Soybean']"
13,13.558873645260512,17.01961928408369,-2.2502359775331726,69.41509224503659,"['Maize', 'Soybean']"
14,12.443365505195995,15.513789042890414,-1.7005422390026563,72.14353754732032,['Soybean']
15,13.89063277814089,17.544616154040376,-2.4538458726086927,68.2480453823978,"['POP_median', 'RWI_median', 'Paddy', 'Maize', 'Soybean', 'Cotton']"
16,13.897540581224993,17.56676555399128,-2.462572071285643,68.27367665157699,"['RWI_median', 'Paddy', 'Maize', 'Soybean', 'Cotton']"
17,14.094433690283415,17.81249286858126,-2.560119847052904,68.1371395024492,"['Paddy', 'Maize', 'Soybean', 'Cotton']"
18,13.373956208294423,16.89569445895013,-2.2030764587395004,69.95298411657274,"['Maize', 'Soybean', 'Cotton']"
19,11.494500435250037,14.970463892902394,-1.5146973695318162,74.61845014340805,"['Soybean', 'Cotton']"
20,11.617093605189712,15.008296087337577,-1.527423325297213,74.24604255711213,['Cotton']
21,13.922369933808639,17.561680920020013,-2.4605679045487214,68.11864774984879,"['POP_median', 'RWI_median', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies']"
22,13.938055256660725,17.5819041324464,-2.4685425506213807,68.11964790675758,"['RWI_median', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies']"
23,14.114081840330064,17.80393449500068,-2.5566996052953543,68.03748842168562,"['Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies']"
24,13.434928088069697,16.910591895320856,-2.2087274445426006,69.70405508594095,"['Maize', 'Soybean', 'Cotton', 'Chillies']"
25,11.796729751839418,15.224117507137851,-1.6006353768450374,73.79841326134257,"['Soybean', 'Cotton', 'Chillies']"
26,11.812137298295816,15.224575686799488,-1.6007919148074907,73.74886633396723,"['Cotton', 'Chillies']"
27,12.502399209472443,15.658125046915332,-1.751026192670425,71.99672525188352,['Chillies']
28,13.90552490527735,17.55940719923853,-2.4596718791812986,68.1800719638077,"['POP_median', 'RWI_median', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric']"
29,13.905387779355328,17.565975227559928,-2.4622605169859955,68.20111875320995,"['RWI_median', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric']"
30,14.094638732308573,17.789084673322126,-2.5507689691756137,68.08046710125295,"['Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric']"
31,13.407909819428385,16.89363526871187,-2.2022957460131,69.7686359615144,"['Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric']"
32,11.761391704819887,15.204247117338543,-1.5938511523623187,73.88378953691722,"['Soybean', 'Cotton', 'Chillies', 'Turmeric']"
33,11.750606142566399,15.19090060884027,-1.589299310799337,73.90940844791629,"['Cotton', 'Chillies', 'Turmeric']"
34,12.462607847929632,15.648189516292959,-1.7475360898463324,72.11993104066732,"['Chillies', 'Turmeric']"
35,12.287693348946528,15.412798491347129,-1.665497086232762,72.53689215929971,['Turmeric']
