,MAE,Accuracy,Tree Depth,Number of Trees,Predictor,Features
0,3.65774242734007,88.70632579087909,11,128,PM2.5,"['Crops', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric', 'SSM_lagged', 'ST_lagged', 'BA_lagged']"
1,3.6633294637397875,88.68529736073407,11,128,PM2.5,"['Crops', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric', 'SSM_lagged', 'ST_lagged']"
2,3.6663635884346295,88.67423139552038,11,96,PM2.5,"['Crops', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric', 'SSM_lagged', 'ST_lagged', 'BA_lagged']"
3,3.669856942302813,88.66312347821875,11,96,PM2.5,"['Crops', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric', 'SSM_lagged', 'ST_lagged']"
4,3.6725334750380645,88.64929700928592,11,64,PM2.5,"['Crops', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric', 'SSM_lagged', 'ST_lagged', 'BA_lagged']"
5,3.679121100628227,88.63539751286437,11,64,PM2.5,"['Crops', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric', 'SSM_lagged', 'ST_lagged']"
6,3.7292018144729737,88.47350985626008,10,128,PM2.5,"['Crops', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric', 'SSM_lagged', 'ST_lagged', 'BA_lagged']"
7,3.7330812857209557,88.45990448864279,10,128,PM2.5,"['Crops', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric', 'SSM_lagged', 'ST_lagged']"
8,3.734934853845933,88.45393237409304,10,96,PM2.5,"['Crops', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric', 'SSM_lagged', 'ST_lagged', 'BA_lagged']"
9,3.7390360724152076,88.44109149295097,10,96,PM2.5,"['Crops', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric', 'SSM_lagged', 'ST_lagged']"
10,3.740146678211242,88.439171638087,10,64,PM2.5,"['Crops', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric', 'SSM_lagged', 'ST_lagged', 'BA_lagged']"
11,3.745749789463898,88.4215247672989,10,64,PM2.5,"['Crops', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric', 'SSM_lagged', 'ST_lagged']"
12,3.8282680134990046,88.15267403492632,9,128,PM2.5,"['Crops', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric', 'SSM_lagged', 'ST_lagged']"
13,3.8287541028634027,88.14884195854214,9,96,PM2.5,"['Crops', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric', 'SSM_lagged', 'ST_lagged']"
14,3.8293572014974915,88.14956305751195,9,128,PM2.5,"['Crops', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric', 'SSM_lagged', 'ST_lagged', 'BA_lagged']"
15,3.8307538565991264,88.14454195052063,9,64,PM2.5,"['Crops', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric', 'SSM_lagged', 'ST_lagged']"
16,3.8310915710118185,88.1403558035864,9,64,PM2.5,"['Crops', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric', 'SSM_lagged', 'ST_lagged', 'BA_lagged']"
17,3.8321576650190754,88.13716228580373,9,96,PM2.5,"['Crops', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric', 'SSM_lagged', 'ST_lagged', 'BA_lagged']"
18,3.91740161390599,87.95656164594489,11,64,PM2.5,"['Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric', 'SSM_lagged', 'ST_lagged', 'BA_lagged']"
19,3.9178501438364925,87.95897510540466,11,128,PM2.5,"['Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric', 'SSM_lagged', 'ST_lagged', 'BA_lagged']"
20,3.9226993182546903,87.9451627565675,11,96,PM2.5,"['Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric', 'SSM_lagged', 'ST_lagged', 'BA_lagged']"
21,3.9604237344058175,87.74814897284577,8,128,PM2.5,"['Crops', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric', 'SSM_lagged', 'ST_lagged']"
22,3.9605879375453465,87.74612737656301,8,64,PM2.5,"['Crops', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric', 'SSM_lagged', 'ST_lagged']"
23,3.9605943493309277,87.74578418512893,8,64,PM2.5,"['Crops', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric', 'SSM_lagged', 'ST_lagged', 'BA_lagged']"
24,3.9622380429174506,87.74370835156827,8,128,PM2.5,"['Crops', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric', 'SSM_lagged', 'ST_lagged', 'BA_lagged']"
25,3.9622672738928806,87.7376165244498,8,96,PM2.5,"['Crops', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric', 'SSM_lagged', 'ST_lagged']"
26,3.964555461502105,87.7291951280205,8,96,PM2.5,"['Crops', 'Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric', 'SSM_lagged', 'ST_lagged', 'BA_lagged']"
27,3.9677532147675496,87.82948973765279,11,64,PM2.5,"['Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric', 'SSM_lagged', 'ST_lagged']"
28,3.970062566022239,87.82707544096573,11,128,PM2.5,"['Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric', 'SSM_lagged', 'ST_lagged']"
29,3.972700370110066,87.80431138793283,10,64,PM2.5,"['Paddy', 'Maize', 'Soybean', 'Cotton', 'Chillies', 'Turmeric', 'SSM_lagged', 'ST_lagged', 'BA_lagged']"
