,MAE,RMSE,R2,Accuracy,Features,Parameters,Feature Importances
0,"[12.049900121084658, 8.571244014963984]","[13.48893813040007, 10.662784996810553]","[-3.636348148269547, -0.003798189693888787]","[60.915709811053034, 71.19686366257349]","['SoilT_Chromic_Luvisols', 'SoilT_Chromic_Vertisols', 'SoilT_Eutric_Nitosols', 'SoilT_Lithosols', 'SoilT_Pellic_luvisols', 'SoilT_Plinthic_Luvisols', 'SoilT_Vertic_Cambisols']","{'bootstrap': True, 'max_depth': 1, 'max_features': 2, 'min_samples_leaf': 3, 'min_samples_split': 15, 'n_estimators': 450}","[('SoilT_Vertic_Cambisols', 0.00200936915397, 0.0002476909089426524), ('SoilT_Lithosols', 0.001400515459487, 0.000357945396786708), ('SoilT_Pellic_luvisols', 0.001261709182029, 0.00014781224913665685), ('SoilT_Eutric_Nitosols', 6.6977513323e-05, 6.116843710999481e-05), ('SoilT_Chromic_Luvisols', 2.6675555936e-05, 1.188258603930716e-05), ('SoilT_Plinthic_Luvisols', 1.0211128517e-05, 6.282920492425459e-06), ('SoilT_Chromic_Vertisols', -7.7193417286e-05, 0.00011144686388376483)]"
1,"[12.000285220438677, 8.453683920712008]","[13.42164598647431, 10.509335440800918]","[-3.6257689391511168, 0.024885505289095056]","[61.10391421791536, 71.51318687712225]","['Built_Area_Prop', 'Area_Built_Area', 'POP_mean', 'POP_median', 'RWI_mean', 'RWI_median', 'RWI_min', 'RWI_max', 'RWI_percentile_90']","{'bootstrap': True, 'max_depth': 4, 'max_features': 3, 'min_samples_leaf': 2, 'min_samples_split': 17, 'n_estimators': 650}","[('RWI_median', 0.016569713035483, 0.0018076988951517255), ('Area_Built_Area', 0.002379034105087, 0.00029815343381054353), ('RWI_mean', 0.002344103975775, 0.0007610591512040896), ('RWI_max', 0.002143987789783, 0.00029000682522120565), ('RWI_percentile_90', 0.000968410846831, 0.00033704073578820514), ('RWI_min', 0.000507793499425, 0.0007865332788929397), ('POP_mean', -0.000387158814679, 0.0006545235673956845), ('POP_median', -0.000464460417352, 0.0004960850208115121), ('Built_Area_Prop', -0.001077883278001, 0.0002555175207691109)]"
2,"[12.011850351995207, 8.518066659829172]","[13.444371131614918, 10.595368300859256]","[-3.631048659950959, 0.008854944161683642]","[61.02548908943173, 71.33536739043114]","['POP_mean', 'POP_median']","{'bootstrap': True, 'max_depth': 5, 'max_features': 1, 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 400}","[('POP_mean', 0.014628219712753, 0.0023206747713947658), ('POP_median', 0.006540219426053, 0.0020718399597418396)]"
3,"[11.996615750649983, 8.488863790935262]","[13.431981218161933, 10.565828036589314]","[-3.6314537211099314, 0.014373935297820384]","[61.04491184681069, 71.4101336991419]","['RWI_mean', 'RWI_median', 'RWI_min', 'RWI_max', 'RWI_percentile_90']","{'bootstrap': True, 'max_depth': 2, 'max_features': 1, 'min_samples_leaf': 1, 'min_samples_split': 19, 'n_estimators': 550}","[('RWI_median', 0.0029696115772, 0.000741204379261549), ('RWI_min', 0.001148151467271, 0.0007936508223987645), ('RWI_mean', 0.001082960085902, 0.0006299930643460761), ('RWI_percentile_90', 4.9993861478e-05, 0.0006158623665716498), ('RWI_max', -0.001886326239645, 0.00042244732880379035)]"
4,"[11.967842505359505, 8.516543509818975]","[13.375617151844844, 10.585929965604006]","[-3.608004257487622, 0.01061997817590521]","[61.17793011737348, 71.27053143717347]","['Built_Area_Prop', 'Area_Built_Area']","{'bootstrap': True, 'max_depth': 5, 'max_features': 1, 'min_samples_leaf': 3, 'min_samples_split': 9, 'n_estimators': 650}","[('Built_Area_Prop', 0.056340621178004, 0.003673600405636465), ('Area_Built_Area', 0.012686892899874, 0.0016583762110353698)]"
5,"[12.190045254152057, 5.912599151404176]","[14.317961261810266, 7.7203077097084565]","[-3.9361272210968075, 0.47377154944876976]","[61.944954499261584, 81.64839373356482]","['SSM_mean', 'SSM_median', 'SSM_min', 'SSM_max', 'SSM_percentile_90', 'ST_mean', 'ST_median', 'ST_min', 'ST_max', 'ST_percentile_90']","{'bootstrap': True, 'max_depth': 5, 'max_features': 3, 'min_samples_leaf': 1, 'min_samples_split': 21, 'n_estimators': 1050}","[('ST_max', 0.125893995439123, 0.003951307492056292), ('ST_percentile_90', 0.054056775658025, 0.002441097414542172), ('ST_mean', 0.052170946530706, 0.0017688514856483476), ('ST_median', 0.051490609175503, 0.0019009232300926868), ('SSM_percentile_90', 0.025831480380088, 0.0038258211662923927), ('ST_min', 0.019632720989003, 0.0007805819262815426), ('SSM_max', 0.008627979464884, 0.0031600436168898517), ('SSM_mean', -0.009440277641089, 0.002727022648095177), ('SSM_min', -0.014359535334573, 0.0017551343857344465), ('SSM_median', -0.016212048745957, 0.0018623638259784117)]"
6,"[7.400654063936706, 6.558405984811389]","[9.088231228020952, 8.598674473495091]","[-0.6323109250081211, 0.34721807696101914]","[77.94116610148139, 79.8688255454907]","['PRE_mean', 'PRE_median', 'PRE_min', 'PRE_max', 'PRE_percentile_90', 'PRE_sum']","{'bootstrap': True, 'max_depth': 7, 'max_features': 2, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 1500}","[('PRE_max', 0.070596213236468, 0.004124787498979716), ('PRE_percentile_90', 0.050596741183717, 0.0027970037312588097), ('PRE_mean', 0.019759679918769, 0.0019670138892191155), ('PRE_median', 0.014121464742516, 0.002463345818886622), ('PRE_sum', -0.001327938647395, 0.004999693605776903), ('PRE_min', -0.003700394743389, 0.0008358427553482511)]"
7,"[14.829981129063713, 8.206298379868215]","[17.027969724602674, 10.251453347289914]","[-6.548676543683573, 0.07215382245937707]","[52.01054705766333, 72.7942716210293]","['SSM_mean', 'SSM_median', 'SSM_min', 'SSM_max', 'SSM_percentile_90']","{'bootstrap': True, 'max_depth': 2, 'max_features': 1, 'min_samples_leaf': 2, 'min_samples_split': 14, 'n_estimators': 300}","[('SSM_median', -0.018906537837707, 0.0020573169582832687), ('SSM_mean', -0.0209970850122, 0.002558990260410247), ('SSM_percentile_90', -0.02164984026377, 0.0029738015995732572), ('SSM_min', -0.021665083154103, 0.002228113589055615), ('SSM_max', -0.02377439798614, 0.003339306782021931)]"
8,"[11.03845529747631, 8.27956703804012]","[12.755841052145271, 10.369363779355004]","[-3.0124997939531317, 0.050687225360610655]","[64.88845747656516, 72.31918843967398]","['ST_mean', 'ST_median', 'ST_min', 'ST_max', 'ST_percentile_90']","{'bootstrap': True, 'max_depth': 1, 'max_features': 1, 'min_samples_leaf': 1, 'min_samples_split': 16, 'n_estimators': 1100}","[('ST_max', 0.035728589645905, 0.0010753294242739188), ('ST_percentile_90', 0.027325913162555, 0.0008496764029287833), ('ST_mean', 0.001762974278473, 0.00035913555928373186), ('ST_median', -0.00395001531799, 0.0005015969549491236), ('ST_min', -0.004454447000299, 0.0007466006451621821)]"
9,"[12.618650216961546, 8.559377031754709]","[14.103193816081628, 10.832070893479806]","[-3.988402142141654, -0.03592446817666506]","[59.67446466064062, 72.69896983564647]",['BA_sum'],"{'bootstrap': True, 'max_depth': 3, 'max_features': 1, 'min_samples_leaf': 3, 'min_samples_split': 12, 'n_estimators': 1200}","[('BA_sum', 0.082434763637462, 0.006767809085561984)]"
