,index,Slope Score,geometry
0,0,-6.56747652982884e-06,"POLYGON ((77.24690974997284 16.45502054967031, 77.24673599623769 16.464041072140393, 77.2373878002232 16.46387314973425, 77.23756198423618 16.454852724337336, 77.24690974997284 16.45502054967031))"
1,1,9.329648469619129e-07,"POLYGON ((77.24673599623769 16.464041072140393, 77.24656213383587 16.473061585069637, 77.23721350727483 16.4728935655817, 77.2373878002232 16.46387314973425, 77.24673599623769 16.464041072140393))"
2,2,6.2910626096322804e-06,"POLYGON ((77.24656213383587 16.473061585069637, 77.24638816274388 16.482082088453087, 77.2370391053675 16.4819139718747, 77.23721350727483 16.4728935655817, 77.24656213383587 16.473061585069637))"
3,3,-5.330306291420635e-06,"POLYGON ((77.25625762435267 16.45518795976238, 77.2560843009188 16.46420857906562, 77.24673599623769 16.464041072140393, 77.24690974997284 16.45502054967031, 77.25625762435267 16.45518795976238))"
4,4,7.718821205753052e-06,"POLYGON ((77.2560843009188 16.46420857906562, 77.25591086908705 16.473229188836626, 77.24656213383587 16.473061585069637, 77.24673599623769 16.464041072140393, 77.2560843009188 16.46420857906562))"
5,5,2.2816145363343066e-05,"POLYGON ((77.25591086908705 16.473229188836626, 77.25573732883396 16.482249789070448, 77.24638816274388 16.482082088453087, 77.24656213383587 16.473061585069637, 77.25591086908705 16.473229188836626))"
6,7,-3.866739090331897e-06,"POLYGON ((77.26577839211032 16.446334229176966, 77.2656056071069 16.455354954592007, 77.25625762435267 16.45518795976238, 77.25643083941209 16.446167330931868, 77.26577839211032 16.446334229176966))"
7,8,-7.19210804053938e-06,"POLYGON ((77.2656056071069 16.455354954592007, 77.26543271399778 16.46437567048836, 77.2560843009188 16.46420857906562, 77.25625762435267 16.45518795976238, 77.2656056071069 16.455354954592007))"
8,9,9.647896808906273e-06,"POLYGON ((77.26543271399778 16.46437567048836, 77.26525971275956 16.473396376861068, 77.25591086908705 16.473229188836626, 77.2560843009188 16.46420857906562, 77.26543271399778 16.46437567048836))"
9,10,1.6479453973745622e-05,"POLYGON ((77.26525971275956 16.473396376861068, 77.26508660336887 16.482417073705186, 77.25573732883396 16.482249789070448, 77.25591086908705 16.473229188836626, 77.26525971275956 16.473396376861068))"
10,12,1.4513632530552107e-06,"POLYGON ((77.27547043932132 16.428459040348407, 77.27529830000128 16.437479881113394, 77.2659510690314 16.437313494248173, 77.26612363789351 16.428292749810584, 77.27547043932132 16.428459040348407))"
11,13,-1.2549698464529752e-06,"POLYGON ((77.27529830000128 16.437479881113394, 77.27512605289088 16.446500712378132, 77.26577839211032 16.446334229176966, 77.2659510690314 16.437313494248173, 77.27529830000128 16.437479881113394))"
12,14,1.552489417422648e-06,"POLYGON ((77.27512605289088 16.446500712378132, 77.27495369796685 16.455521534137674, 77.2656056071069 16.455354954592007, 77.26577839211032 16.446334229176966, 77.27512605289088 16.446500712378132))"
13,15,2.875638772933918e-06,"POLYGON ((77.27495369796685 16.455521534137674, 77.27478123520586 16.4645423463871, 77.26543271399778 16.46437567048836, 77.2656056071069 16.455354954592007, 77.27495369796685 16.455521534137674))"
14,16,1.720952811206127e-05,"POLYGON ((77.27478123520586 16.4645423463871, 77.27460866458458 16.47356314912144, 77.26525971275956 16.473396376861068, 77.26543271399778 16.46437567048836, 77.27478123520586 16.4645423463871))"
15,17,1.7496999129196837e-05,"POLYGON ((77.27460866458458 16.47356314912144, 77.27443598607968 16.482583942335765, 77.26508660336887 16.482417073705186, 77.26525971275956 16.473396376861068, 77.27460866458458 16.47356314912144))"
16,18,-9.362784247409887e-06,"POLYGON ((77.28516044555336 16.410583014140716, 77.28498895077242 16.419603969961724, 77.27564247087429 16.41943819008812, 77.27581439468344 16.410417330337463, 77.28516044555336 16.410583014140716))"
17,19,-7.68738066214428e-06,"POLYGON ((77.28498895077242 16.419603969961724, 77.28481734851619 16.42862491630089, 77.27547043932132 16.428459040348407, 77.27564247087429 16.41943819008812, 77.28498895077242 16.419603969961724))"
18,20,3.5356263448196347e-06,"POLYGON ((77.28481734851619 16.42862491630089, 77.28464563876149 16.43764585315327, 77.27529830000128 16.437479881113394, 77.27547043932132 16.428459040348407, 77.28481734851619 16.42862491630089))"
19,21,8.3551658968136e-06,"POLYGON ((77.28464563876149 16.43764585315327, 77.2844738214851 16.446666780513933, 77.27512605289088 16.446500712378132, 77.27529830000128 16.437479881113394, 77.28464563876149 16.43764585315327))"
20,22,2.3631706798669188e-05,"POLYGON ((77.2844738214851 16.446666780513933, 77.28430189666375 16.45568769837794, 77.27495369796685 16.455521534137674, 77.27512605289088 16.446500712378132, 77.2844738214851 16.446666780513933))"
21,23,1.969097581718518e-05,"POLYGON ((77.28430189666375 16.45568769837794, 77.28412986427422 16.464708606740366, 77.27478123520586 16.4645423463871, 77.27495369796685 16.455521534137674, 77.28430189666375 16.45568769837794))"
