district,capacity,name,latitude,longitude
Ranga Reddy,"Godown,  5000 MT's  ",Moinabad,17.333267,78.288869
Ranga Reddy,"Godown,  2500 MT's",Shankarpally,17.451972,78.132948
Ranga Reddy,"Godown,  5000 MT's",Chevella,17.31047,78.13978
Ranga Reddy,"Godown,  10000 MT's",Shadnagar,17.041282,78.200179
Ranga Reddy,"Godown,  2500 MT's",Ibrahimpatnam,17.188829,78.646914
Ranga Reddy,"Godown,  2500 MT's",Sardarnagar,17.092174,78.162403
Ranga Reddy,"Godown,  2500 MT's",Amangal,,
Ranga Reddy,5000MT Godown ,Maheshwaram/ Ibrahimpnam,17.089751,78.4571
Ranga Reddy,5000MT Godown ,Dawoodkhanguda/ Gaddiannaram,17.299692,78.53342
Ranga Reddy,5000MT Godown   ,Keshampet/ Shadnagar,16.996082,78.302725
Ranga Reddy,5000MT Godown  ,Telkondapally/ Amangal,,
Ranga Reddy,5000MT Godown,Kandukuru / Ibrahimpnam,17.089751,78.4571
Ranga Reddy,5000MT Godown   ,Kondurg/ Shadnagar,17.094499,78.031256
Ranga Reddy,"Godown,  2500 MT's",Manchal (M),,
Ranga Reddy,"Godown,  2500 MT's",Thakkallapally(V)/         Yacharam(M),,
Ranga Reddy,5000MT Godown   ,Kothur/ Shadnagar,,
Ranga Reddy,"Godown,  2500 MT's",Narsingi/Babbuguda,,
Vikarabad  ,"Godown,  2500 MT's",Vikarabad,17.342249,77.908049
Vikarabad  ,"Godown,  2500 MT's",Dharur,17.316675,77.777187
Vikarabad  ,"Godown,   5000MT's",Kosgi/ Kodangal,17.11334,77.621134
Vikarabad  ,"Godown,  2500 MT's",Marpally,17.539945,77.759896
Vikarabad  ,5000MT Godown,Doulthabad/ Kosgi,17.050974,77.605019
Vikarabad  ,5000MT Godown ,Nawabpet/       Vikarabad,17.425944,77.980502
Vikarabad  ,10000MT Godown,Jafferpally/ Parigi,17.133388,77.915853
Vikarabad  ,7500 MT Godown,Yalal/Tandur,17.265004,77.62565
Malkajgiri (Medchal) ,"Godown,  2500 MT's",Medchal,17.591715,78.492793
Malkajgiri (Medchal) ,5000MT Godown,Keesara / Medchal,17.521641,78.656248
Malkajgiri (Medchal) ,5000MT Godown ,Shameerpeet/ Medchal,17.600291,78.544178
Malkajgiri (Medchal) ,5000MT Godown,Ghatkesar / Gaddiannaram,,
Mahabubnagar ,"Godown,   2500 MT's",Mahabubnagar,16.754646,77.993231
Mahabubnagar ,"Godown,  5000 MT's",Makthal/ Krishna,16.407214,77.32609
Mahabubnagar ,"Godown,  2500 MT's",Narayanpet,16.684639,77.45842
Mahabubnagar ,5000MT Godown    ,Boothpoor/ Badepally,16.639446,78.132169
Mahabubnagar ,5000MT Godown   ,Midjil/ Badepally,16.680126,78.339558
Mahabubnagar ,5000MT Godown,      Balanagar/     Badepally,16.936219,78.184161
Mahabubnagar ,5000MT Godown   ,Deverakadra,16.624047,77.839766
Mahabubnagar ,5000MT Godown   ,C.C Kunta/ Devarakadra,16.455379,77.781143
Mahabubnagar ,5000MT Godown ,Damaragidda/ Kosgi,16.935498,77.496872
Mahabubnagar ,5000MT Godown   ,Makthal,16.431243,77.500648
Mahabubnagar ,5000MT Godown  ,Koikonda/ Mahabubnagar,16.827084,77.855988
Mahabubnagar ,5000MT Godown  ,Dorepalli(V)/ Maddur(M),,
Mahabubnagar ,"Godown,  2500 MT's",Narwa(M),,
Mahabubnagar ,"Godown,  2500 MT's",Chinnambavi (M),,
Mahabubnagar ,"Godown,  2500 MT's",Janampet(V)/ Moosapeta(M) ,16.634513,77.989767
Mahabubnagar ,5000MT Godown  ,Dhanwada(M),,
Mahabubnagar ,5000MT Godown  ,Hanwada(M),,
Nagarkurnool,10000,Kalwakurthy,16.671035,78.495731
Nagarkurnool,5000,Achampet,16.400378,78.63799
Nagarkurnool,5000,Thimmajipet/ Nagarkurnool,16.663622,78.191307
Nagarkurnool,5000,Kollapur,16.111317,78.30867
Nagarkurnool,5000,Peddakothapally/ kollapur ,16.290178,78.359105
Nagarkurnool,5000,Kodair/ Kollapur,16.263633,78.290639
Nagarkurnool,5000,Lingal/ Achampet,16.273189,78.519762
Nagarkurnool,5000,Balmoor/ Achampeta,16.354468,78.561516
Nagarkurnool,5000,Uppununthala/ Achampet,16.404239,78.585548
Nagarkurnool,5000,Veldanda/ Kalwakurthy,16.789331,78.535487
Nagarkurnool,5000,Amrabad,16.3764,78.83007
Nagarkurnool,5000,Telkapally/ Nagarkurnool,16.472175,78.467552
Nagarkurnool,5000,Vangoor/ Kalwakurthy,16.61315,78.641151
Nagarkurnool,5000,Tadoor/ Nagarkurnool,16.536039,78.338222
Nagarkurnool,10000,Nagarkurnool (New yard),16.470711,78.334952
Nagarkurnool,5000,Bijinapally/ Nagarkurnool,16.605287,78.132965
Wanaparthy ,"Godown,  10000 MT's",Wanaparthy Road,16.386244,77.884011
Wanaparthy ,"Godown,  10000 MT's",Wanaparthy Road / Pebbair,16.206851,77.993939
Wanaparthy ,5000MT Godown   ,Atmakur,16.344738,77.797022
Wanaparthy ,5000MT Godown  ,Ghanpur/ Wanaparthy Town,16.53405,78.045673
Wanaparthy ,5000MT Godown   ,Peddamandadi/ Wanaparthy Town,16.470918,77.940116
Wanaparthy ,5000MT Godown   ,Pangal/ kollapur,16.252447,78.128466
Wanaparthy ,5000MT Godown   ,Kothakota/ Wanaparthy Road,16.377182,77.917614
Wanaparthy ,5000MT Godown ,Weepanagandla/ Kollapur,16.113441,78.116038
